time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-03 12:32:39,"59642756","44","0","","","528","1424","5","0","","","","","","","3894672","37128","13004","24124","0","0","88","","","2","","","19","1048576","2000","128","49","64","2","21504","7488","44001","9","1","","16420","3","0","444","","",
2022-03-03 12:32:40,"59102776","44","0","0","0","528","1442","1","0","1","0","99","0","0","0","5226472","579660","551532","28128","0","0","88","1","0","3","918","0","39","1048576","527770","2432","2349","256","212","21504","7488","47080","13","1","4","38964","20","17","1278","834","0",
2022-03-03 12:32:41,"59102780","44","0","0","0","528","1442","1","0","0","0","101","0","0","0","5226472","579660","551532","28128","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2349","256","212","21504","7488","47080","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:32:42,"59102780","44","0","0","0","528","1442","1","0","0","0","101","0","0","0","5226472","579660","551532","28128","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2349","256","212","21504","7488","47080","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:32:43,"59102780","44","0","0","0","528","1442","1","0","0","0","101","0","0","0","5226472","579660","551532","28128","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2349","256","212","21504","7488","47080","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:32:44,"59102780","44","0","0","0","528","1442","1","0","0","0","101","0","0","0","5226472","579568","551440","28128","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2349","256","212","21504","7488","44520","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:32:45,"59102780","44","0","0","0","528","1441","1","0","0","0","101","0","0","0","5226472","579672","551544","28128","0","0","88","0","0","3","128","0","38","1048576","527770","2432","2349","256","212","21504","7488","44515","12","1","0","37936","20","17","1278","0","0",
2022-03-03 12:32:46,"59102276","44","0","0","0","528","1441","1","0","0","0","101","0","0","0","5226472","579672","551544","28128","0","0","88","0","0","3","128","0","38","1048576","527770","2432","2349","256","212","21504","7488","44515","12","1","0","37936","20","17","1278","0","0",
2022-03-03 12:32:47,"59102276","44","0","0","0","528","1441","1","0","0","0","101","0","0","0","5226472","579672","551544","28128","0","0","88","0","0","3","128","0","38","1048576","527770","2432","2349","256","212","21504","7488","44515","12","1","0","37936","20","17","1278","0","0",
2022-03-03 12:32:48,"59102040","44","0","0","0","528","1441","1","0","0","0","101","0","0","0","5226472","579672","551544","28128","0","0","88","0","0","3","128","0","38","1048576","527770","2432","2349","256","212","21504","7488","44515","12","1","0","37936","20","17","1278","0","0",
2022-03-03 12:32:49,"59103552","44","0","0","0","528","1440","1","0","0","0","101","0","0","0","5226344","577548","549420","28128","0","0","88","0","0","3","130","0","37","1048576","527770","2432","2349","256","212","21504","7488","44510","11","1","0","36908","20","17","1278","0","0",
