time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-03 12:38:11,"59646968","44","0","","","526","1413","3","0","","","","","","","3894672","36244","12888","23356","0","0","88","","","2","","","19","1048576","2000","128","49","64","2","21504","7488","44065","9","1","","16420","3","0","444","","",
2022-03-03 12:38:12,"59109520","44","0","0","0","526","1432","1","0","1","0","99","0","0","0","5226472","579596","551520","28076","0","0","88","1","0","3","950","0","39","1048576","527770","2432","2345","256","212","21504","7488","46953","13","1","4","38964","20","17","1278","834","0",
2022-03-03 12:38:13,"59109520","44","0","0","0","526","1431","1","0","0","0","101","0","0","0","5226472","579596","551520","28076","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2345","256","212","21504","7488","46953","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:38:14,"59109520","44","0","0","0","526","1431","1","0","0","0","101","0","0","0","5226472","579596","551520","28076","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2345","256","212","21504","7488","46953","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:38:15,"59109308","44","0","0","0","526","1431","1","0","0","0","101","0","0","0","5226472","579596","551520","28076","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2345","256","212","21504","7488","46953","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:38:16,"59109068","44","0","0","0","526","1431","1","0","0","0","101","0","0","0","5226472","579596","551520","28076","0","0","88","0","0","3","128","0","39","1048576","527770","2432","2345","256","212","21504","7488","44522","13","1","0","38964","20","17","1278","0","0",
2022-03-03 12:38:17,"59109068","44","0","0","0","526","1427","1","0","0","0","101","0","0","0","5226472","579692","551616","28076","0","0","88","0","0","3","128","0","37","1048576","527770","2432","2345","256","212","21504","7488","44512","11","1","0","36908","20","17","1278","0","0",
2022-03-03 12:38:18,"59107160","44","0","0","0","526","1427","1","0","0","0","101","0","0","0","5226472","579692","551616","28076","0","0","88","0","0","3","128","0","37","1048576","527770","2432","2345","256","212","21504","7488","44512","11","1","0","36908","20","17","1278","0","0",
2022-03-03 12:38:19,"59107160","44","0","0","0","526","1427","1","0","0","0","101","0","0","0","5226472","579692","551616","28076","0","0","88","0","0","3","128","0","37","1048576","527770","2432","2345","256","212","21504","7488","44512","11","1","0","36908","20","17","1278","0","0",
2022-03-03 12:38:20,"59107968","44","0","0","0","526","1427","1","0","0","0","101","0","0","0","5226472","579692","551616","28076","0","0","88","0","0","3","128","0","37","1048576","527770","2432","2345","256","212","21504","7488","44512","11","1","0","36908","20","17","1278","0","0",
