time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 12:02:06,"57671304","41","0","","","531","1426","2","0","","","","","","","4961976","1125812","1102132","23680","0","0","88","","","2","","","36","1048576","2000","128","49","64","2","21504","7488","45222","9","1","","33828","3","0","444","","",
2022-03-07 12:02:07,"57660916","41","0","0","0","531","1428","1","0","1","0","100","0","0","0","5227656","1138152","1109936","28216","0","0","88","1","0","3","946","0","39","1048576","527814","2560","2378","320","216","21504","7488","48131","13","1","4","38964","27","24","1286","842","0",
2022-03-07 12:02:08,"57660924","41","0","0","0","531","1428","1","0","0","0","101","0","0","0","5227656","1138152","1109936","28216","0","0","88","0","0","3","131","0","39","1048576","527814","2560","2378","320","216","21504","7488","48131","13","1","0","38964","27","24","1286","0","0",
2022-03-07 12:02:09,"57660940","41","0","0","0","531","1428","1","0","0","0","101","0","0","0","5227656","1138152","1109936","28216","0","0","88","0","0","3","131","0","39","1048576","527814","2560","2378","320","216","21504","7488","48131","13","1","0","38964","27","24","1286","0","0",
2022-03-07 12:02:10,"57660932","41","0","0","0","531","1428","2","0","0","0","101","0","0","0","5227656","1138152","1109936","28216","0","0","88","0","0","3","131","0","39","1048576","527814","2560","2378","320","216","21504","7488","48131","13","1","0","38964","27","24","1286","0","0",
2022-03-07 12:02:11,"57660932","41","0","0","0","531","1428","1","0","0","0","101","0","0","0","5227656","1137824","1109608","28216","0","0","88","0","0","3","131","0","39","1048576","527814","2560","2378","320","216","21504","7488","45760","13","1","0","38964","27","24","1286","0","0",
2022-03-07 12:02:12,"57660932","41","0","0","0","531","1427","1","0","0","0","101","0","0","0","5227656","1138136","1109856","28280","0","0","88","0","0","3","131","0","38","1048576","527814","2560","2378","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 12:02:13,"57660932","41","0","0","0","531","1427","1","0","0","0","101","0","0","0","5227656","1138136","1109856","28280","0","0","88","0","0","3","131","0","38","1048576","527814","2560","2378","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 12:02:14,"57660932","41","0","0","0","531","1427","1","0","0","0","101","0","0","0","5227656","1138136","1109856","28280","0","0","88","0","0","3","131","0","38","1048576","527814","2560","2378","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 12:02:15,"57659320","41","0","0","0","531","1427","1","0","0","0","101","0","0","0","5227656","1138136","1109856","28280","0","0","88","0","0","3","131","0","38","1048576","527814","2560","2378","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
