time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 11:31:52,"57738524","41","0","","","530","1421","2","0","","","","","","","4961976","1125496","1102140","23356","0","0","88","","","2","","","36","1048576","2000","128","49","64","2","21504","7488","45222","9","1","","33828","3","0","444","","",
2022-03-07 11:31:53,"57728276","41","0","0","0","530","1421","1","0","1","0","100","0","0","0","5227656","1137988","1109720","28268","0","0","88","1","0","3","947","0","39","1048576","527752","2560","2380","320","216","21504","7488","47813","13","1","4","38964","27","24","1286","842","0",
2022-03-07 11:31:54,"57728268","41","0","0","0","530","1422","1","0","0","0","101","0","0","0","5227656","1137988","1109720","28268","0","0","88","0","0","3","129","0","39","1048576","527752","2560","2380","320","216","21504","7488","47813","13","1","0","38964","27","24","1286","0","0",
2022-03-07 11:31:55,"57726280","41","0","0","0","530","1422","2","0","0","0","101","0","0","0","5227656","1137988","1109720","28268","0","0","88","0","0","3","129","0","39","1048576","527752","2560","2380","320","216","21504","7488","47813","13","1","0","38964","27","24","1286","0","0",
2022-03-07 11:31:56,"57721472","41","0","0","0","530","1425","1","0","0","0","101","0","0","0","5227656","1137988","1109720","28268","0","0","88","0","0","3","129","0","39","1048576","527752","2560","2380","320","216","21504","7488","47813","13","1","0","38964","27","24","1286","0","0",
2022-03-07 11:31:57,"57718528","42","0","0","0","530","1443","1","0","2","0","99","0","0","0","5227656","1137912","1109644","28268","0","0","88","0","0","3","129","0","39","1048576","527752","2560","2380","320","216","21504","7488","45761","13","1","0","38964","27","24","1286","0","0",
2022-03-07 11:31:58,"57718732","42","0","0","0","530","1442","3","0","0","0","101","0","0","0","5227656","1137924","1109656","28268","0","0","88","0","0","3","129","0","38","1048576","527752","2560","2380","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 11:31:59,"57718732","42","0","0","0","530","1442","1","0","0","0","101","0","0","0","5227656","1137924","1109656","28268","0","0","88","0","0","3","129","0","38","1048576","527752","2560","2380","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 11:32:00,"57721880","42","0","0","0","530","1442","1","0","0","0","101","0","0","0","5227656","1137924","1109656","28268","0","0","88","0","0","3","129","0","38","1048576","527752","2560","2380","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 11:32:01,"57722024","42","0","0","0","530","1442","1","0","0","0","101","0","0","0","5227656","1137924","1109656","28268","0","0","88","0","0","3","129","0","38","1048576","527752","2560","2380","320","216","21504","7488","45755","12","1","0","37936","27","24","1286","0","0",
2022-03-07 11:32:02,"57722048","42","0","0","0","530","1441","1","0","0","0","101","0","0","0","5227656","1138000","1109732","28268","0","0","88","0","0","3","129","0","37","1048576","527752","2560","2380","320","216","21504","7488","45749","11","1","0","36908","27","24","1286","0","0",
2022-03-07 11:32:03,"57722048","42","0","0","0","530","1441","1","0","0","0","101","0","0","0","5227656","1138000","1109732","28268","0","0","88","0","0","3","129","0","37","1048576","527752","2560","2380","320","216","21504","7488","45749","11","1","0","36908","27","24","1286","0","0",
