Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"57355392","45","0","","","533","1527","1","0","","","","","","","23395320","908144","880036","28108","0","0","88","","","23","","","32","","","14400","13895","2048","1880","23808","10112","","10","1","","","","","2918","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-02 14:46:25,"58322832","46","0","","","532","1522","5","0","","","","","","","19868264","33244","10184","23060","0","0","88","","","2","","","19","1048576","10110","128","49","64","2","21504","7488","","9","1","","16420","3","0","444","","",
2022-03-02 14:46:26,"58081108","44","0","0","0","532","1572","27","0","46","2","51","0","0","0","23396476","279292","251180","28112","0","0","88","47","2","22","28786","25261","72","139264","42411","14144","13813","2048","1902","21504","9408","","46","26","38","72888","150","145","2969","2525","0",
2022-03-02 14:46:27,"57421372","45","0","0","0","532","1566","22","0","69","14","11","0","0","0","23396476","938304","910192","28112","0","0","88","71","14","22","155","0","66","712704","391293","14144","13813","2048","1902","21504","9600","","40","26","0","66720","150","145","2969","0","0",
2022-03-02 14:46:29,"57251776","46","0","0","0","532","1563","25","0","38","5","5","0","0","0","23396476","1104308","1076196","28112","0","0","88","40","5","22","145","0","64","860160","488980","14144","13814","2048","1902","21504","9664","","38","26","0","64664","150","145","2969","0","0",
2022-03-02 14:46:30,"57236404","46","0","0","0","532","1561","22","0","85","6","7","0","0","0","23396476","1118604","1090492","28112","0","0","88","87","6","22","137","0","62","860160","33967","14144","13814","2048","1902","21504","9664","","36","26","0","62608","150","145","2969","0","0",
2022-03-02 14:46:31,"57232876","46","0","0","0","532","1560","24","0","90","5","4","0","0","0","23396476","1123368","1095256","28112","0","0","88","91","5","22","137","0","61","860160","164225","14144","13815","2048","1902","21504","9664","","35","25","0","61580","150","145","2969","0","0",
2022-03-02 14:46:32,"57231880","46","0","0","0","532","1540","4","0","59","4","37","0","0","0","23396476","1126280","1098168","28112","0","0","88","58","4","22","136","0","41","860160","514315","14144","13815","2048","1902","21504","9664","","15","5","0","41020","150","145","2969","0","0",
2022-03-02 14:46:33,"57394928","45","0","0","0","532","1561","26","0","71","7","17","0","0","0","23396476","963148","935036","28112","0","0","88","75","8","22","187","0","63","630784","371673","14272","13748","2048","1867","23808","9728","","37","26","28","63636","57","52","2892","17","94",
2022-03-02 14:46:34,"57390392","45","0","0","0","532","1560","23","0","84","7","5","0","0","0","23396476","967420","939308","28112","0","0","88","86","7","22","133","0","62","630784","259398","14272","13748","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:35,"57381824","45","0","0","0","532","1556","24","0","81","9","8","0","0","0","23396476","974648","946536","28112","0","0","88","82","9","22","132","0","62","630784","208855","14272","13748","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:36,"57558776","45","0","0","0","532","1554","17","0","81","9","8","0","0","0","23396348","799056","770944","28112","0","0","88","82","9","22","135","0","60","630784","304154","14272","13748","2048","1867","23808","9728","","34","24","0","60552","57","52","2892","0","0",
2022-03-02 14:46:37,"57461716","45","0","0","0","532","1556","26","0","59","6","33","0","0","0","23396348","898468","870356","28112","0","0","88","61","6","22","133","0","62","630784","242089","14272","13748","2048","1867","23808","9728","","36","26","26","62608","57","52","2892","0","0",
2022-03-02 14:46:38,"57452392","45","0","0","0","532","1556","24","0","90","5","4","0","0","0","23396348","906896","878784","28112","0","0","88","91","5","22","133","0","62","630784","257923","14272","13748","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:39,"57449620","45","0","0","0","532","1556","24","0","91","5","3","0","0","0","23396348","909532","881420","28112","0","0","88","92","5","22","131","0","62","630784","327350","14272","13748","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:40,"57439540","45","0","0","0","532","1558","23","0","89","5","6","0","0","0","23396348","916120","888008","28112","0","0","88","89","5","22","132","0","62","630784","224868","14272","13748","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:41,"57437492","45","0","0","0","532","1545","13","0","80","4","16","0","0","0","23396348","918596","890484","28112","0","0","88","79","4","22","133","0","49","630784","362459","14272","13748","2048","1867","23808","9728","","23","13","0","49244","57","52","2892","0","0",
2022-03-02 14:46:42,"57442280","45","0","0","0","532","1559","25","0","70","5","25","0","0","0","23396348","904288","876176","28112","0","0","88","71","5","22","134","0","62","630784","28181","14272","13749","2048","1867","23808","9728","","36","26","26","62608","57","52","2892","0","0",
2022-03-02 14:46:43,"57286844","45","0","0","0","532","1560","24","0","88","5","6","0","0","0","23396348","1047508","1019396","28112","0","0","88","87","4","22","131","0","62","761856","200372","14272","13749","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:44,"57285468","45","0","0","0","532","1561","25","0","88","5","5","0","0","0","23396348","1047508","1019396","28112","0","0","88","89","5","22","131","0","62","761856","43277","14272","13749","2048","1867","23808","9728","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:45,"57282812","45","0","0","0","532","1562","24","0","88","4","6","0","0","0","23396348","1047712","1019600","28112","0","0","88","87","4","22","132","0","61","761856","274455","14272","13749","2048","1867","23808","9728","","35","25","0","61580","57","52","2892","0","0",
2022-03-02 14:46:46,"57598956","45","0","0","0","533","1564","27","0","58","4","37","0","0","0","23396348","727120","699008","28112","0","0","88","57","4","22","135","0","62","638976","227927","14272","13753","2048","1867","23808","9792","","36","26","26","62608","57","52","2892","0","0",
2022-03-02 14:46:47,"57332560","45","0","0","0","533","1578","26","0","88","5","5","0","0","0","23396348","895416","867304","28112","0","0","88","83","4","22","131","0","62","638976","349120","14272","13753","2048","1867","23808","9792","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:48,"57267760","46","0","0","0","533","1583","30","0","88","5","5","0","0","0","23396348","906856","878744","28112","0","0","88","81","4","22","132","0","62","638976","72802","14272","13753","2048","1867","23808","9792","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:49,"57277760","46","0","0","0","534","1606","25","0","86","6","7","0","0","0","23396348","931568","903456","28112","0","0","88","79","5","22","132","0","62","638976","38955","14272","13753","2048","1867","23808","9792","","36","26","0","62608","57","52","2892","0","0",
2022-03-02 14:46:50,"57270320","46","0","0","0","533","1578","12","0","76","6","17","0","0","0","23396348","932796","904684","28112","0","0","88","69","5","22","131","0","49","638976","146042","14272","13753","2048","1867","23808","9792","","23","13","0","49244","57","52","2892","0","0",
2022-03-02 14:46:51,"57323792","46","0","0","0","533","1595","23","0","73","6","20","0","0","0","23396348","878804","850692","28112","0","0","88","72","5","22","132","0","64","614400","281318","14272","13754","2048","1867","23808","9792","","38","26","28","64664","57","52","2892","0","0",
2022-03-02 14:46:52,"57328752","46","0","0","0","533","1595","25","0","88","5","6","0","0","0","23396348","888640","860528","28112","0","0","88","87","5","22","131","0","64","614400","294584","14272","13754","2048","1867","23808","9792","","38","26","0","64664","57","52","2892","0","0",
2022-03-02 14:46:53,"57335312","46","0","0","0","533","1595","25","0","88","6","5","0","0","0","23396348","888640","860528","28112","0","0","88","83","5","22","131","0","64","614400","105674","14272","13754","2048","1867","23808","9792","","38","26","0","64664","57","52","2892","0","0",
2022-03-02 14:46:54,"57271912","46","0","0","0","533","1596","24","0","87","5","6","0","0","0","23396348","888640","860528","28112","0","0","88","81","4","22","131","0","64","614400","126319","14272","13754","2048","1867","23808","9792","","38","26","0","64664","57","52","2892","0","0",
2022-03-02 14:46:55,"57227116","46","0","0","0","533","1594","20","0","66","5","28","0","0","0","23396348","921544","893432","28112","0","0","88","64","4","22","132","0","64","630784","42285","14272","13755","2048","1867","23808","9792","","38","26","26","64664","57","52","2892","0","0",
