Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"56542948","47","0","","","532","1561","3","0","","","","","","","23395448","1740880","1712632","28248","0","0","88","","","23","","","32","","","14400","13925","2048","1876","23808","10112","","10","1","","","","","2914","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-02 14:49:03,"58208180","46","0","","","533","1523","3","0","","","","","","","19868264","33448","10196","23252","0","0","88","","","2","","","19","1048576","10110","128","49","64","2","21504","7488","","9","1","","16420","3","0","444","","",
2022-03-02 14:49:04,"57838488","45","0","0","0","533","1574","24","0","43","3","52","0","0","0","23396476","408636","380384","28252","0","0","88","44","3","22","28788","25261","72","589824","139826","14144","13804","2048","1896","21504","9472","","46","26","38","72888","147","142","2962","2518","0",
2022-03-02 14:49:05,"57332976","45","0","0","0","533","1568","21","0","71","12","11","0","0","0","23396476","915444","887192","28252","0","0","88","74","12","22","156","0","66","712704","349520","14144","13804","2048","1896","21504","9536","","40","26","0","66720","147","142","2962","0","0",
2022-03-02 14:49:06,"57158348","46","0","0","0","533","1567","21","0","74","11","9","0","0","0","23396476","1087752","1059500","28252","0","0","88","78","11","22","143","0","65","860160","457894","14144","13805","2048","1896","21504","9600","","39","26","1","65692","147","142","2962","0","0",
2022-03-02 14:49:07,"57106688","46","0","0","0","533","1564","21","0","78","11","8","0","0","0","23396476","1137812","1109560","28252","0","0","88","80","11","22","136","0","62","860160","152747","14144","13805","2048","1896","21504","9600","","36","26","0","62608","147","142","2962","0","0",
2022-03-02 14:49:08,"57088040","46","0","0","0","533","1554","17","0","74","10","11","0","0","0","23396476","1159048","1130796","28252","0","0","88","77","10","22","138","0","52","860160","198869","14144","13806","2048","1896","21504","9600","","26","16","0","52328","147","142","2962","0","0",
2022-03-02 14:49:09,"57248572","45","0","0","0","533","1567","20","0","40","7","53","0","0","0","23396476","1000304","972052","28252","0","0","88","40","7","22","187","0","65","630784","31523","14272","13764","2048","1862","23808","9728","","39","26","29","65692","57","52","2888","17","91",
2022-03-02 14:49:10,"57228916","45","0","0","0","533","1565","23","0","70","13","11","0","0","0","23396476","1017880","989628","28252","0","0","88","72","14","22","134","0","63","630784","104687","14272","13764","2048","1862","23808","9728","","37","26","0","63636","57","52","2888","0","0",
2022-03-02 14:49:11,"57067384","46","0","0","0","533","1564","22","0","68","14","11","0","0","0","23396476","1178900","1150648","28252","0","0","88","71","15","22","133","0","62","761856","207706","14272","13764","2048","1862","23808","9728","","36","26","0","62608","57","52","2888","0","0",
