Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61705012","26","0","","","527","1135","1","0","","","","","","","6605588","762564","733760","28804","0","0","96","","","23","","","32","","","14272","13832","1984","1867","23616","9984","","10","1","","","","","2903","","",

Last 30 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 16:16:27,"62448744","26","0","","","527","1125","3","0","","","","","","","3078528","31912","8192","23720","0","0","96","","","2","","","19","262144","1918","128","49","64","2","21504","7488","41407","9","1","","16420","3","0","444","","",
2022-03-04 16:16:32,"61802464","26","0","0","0","527","1164","20","0","64","11","19","0","0","0","6606616","682584","653776","28808","0","0","96","66","11","22","28847","25261","60","262144","29893","14016","13731","1984","1886","21504","9536","464288","34","24","39","60552","137","132","2947","2503","0",
2022-03-04 16:16:37,"61710448","26","0","0","0","527","1166","16","0","60","12","22","0","0","0","6606616","769668","740860","28808","0","0","96","62","12","22","194","0","61","262144","8245","14144","13689","1984","1857","23616","9600","383053","35","25","29","61580","57","52","2883","17","81",
2022-03-04 16:16:42,"61892680","26","0","0","0","527","1167","24","0","61","12","20","0","0","0","6606616","588356","559548","28808","0","0","96","63","13","22","139","1","62","262144","37911","14144","13690","1984","1857","23616","9664","331050","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:16:47,"61761656","26","0","0","0","527","1163","23","0","62","13","17","0","0","0","6606616","718772","689964","28808","0","0","96","65","14","22","137","0","62","262144","96475","14144","13694","1984","1857","23616","9664","296707","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:16:52,"61717572","26","0","0","0","527","1165","19","0","63","14","15","0","0","0","6606616","763172","734364","28808","0","0","96","67","14","22","131","0","64","262144","37126","14144","13695","1984","1857","23616","9664","308421","38","26","28","64664","57","52","2883","0","0",
2022-03-04 16:16:57,"61755136","26","0","0","0","527","1163","25","0","61","13","18","0","0","0","6606616","723708","694900","28808","0","0","96","64","14","22","137","0","62","262144","11865","14144","13696","1984","1857","23616","9664","365449","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:02,"61743048","26","0","0","0","527","1163","23","0","63","14","15","0","0","0","6606616","736496","707688","28808","0","0","96","66","14","22","131","0","62","262144","37922","14144","13698","1984","1857","23616","9728","346549","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:07,"61710560","26","0","0","0","527","1162","4","0","63","14","16","0","0","0","6606616","767596","738788","28808","0","0","96","66","14","22","133","0","62","262144","7933","14144","13709","1984","1857","23616","9728","499489","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:12,"61789440","26","0","0","0","527","1163","5","0","60","13","20","0","0","0","6606616","689128","660320","28808","0","0","96","62","13","22","139","1","62","262144","103674","14208","13721","1984","1857","23616","9792","243349","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:17:17,"61759724","26","0","0","0","527","1163","20","0","62","14","17","0","0","0","6606616","718476","689668","28808","0","0","96","65","14","22","131","0","62","262144","45807","14208","13724","1984","1857","23616","9792","344191","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:22,"61854812","26","0","0","0","527","1169","23","0","61","13","19","0","0","0","6606616","623944","595136","28808","0","0","96","63","13","22","135","0","62","262144","57238","14208","13724","1984","1857","23616","9792","286462","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:27,"61740168","26","0","0","0","527","1169","21","0","58","13","21","0","0","0","6606616","738688","709880","28808","0","0","96","62","13","22","133","0","62","262144","19752","14208","13732","1984","1857","23616","9792","340155","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:32,"61713052","26","0","0","0","527","1169","23","0","63","13","17","0","0","0","6606616","763760","734952","28808","0","0","96","65","14","22","130","0","62","262144","55196","14208","13736","1984","1857","23616","9856","323324","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:17:37,"61772820","26","0","0","0","527","1172","24","0","62","13","18","0","0","0","6606616","704932","676124","28808","0","0","96","64","14","22","137","0","65","262144","62067","14208","13738","1984","1857","23616","9856","295439","39","26","29","65692","57","52","2883","0","0",
2022-03-04 16:17:42,"61690688","26","0","0","0","527","1169","25","0","61","13","19","0","0","0","6606616","786540","757732","28808","0","0","96","63","13","22","129","0","63","262144","53714","14208","13738","1984","1857","23616","9856","255013","37","26","26","63636","57","52","2883","0","0",
2022-03-04 16:17:47,"61936144","26","0","0","0","527","1157","11","0","62","13","17","0","0","0","6606616","541540","512732","28808","0","0","96","65","14","22","131","0","51","262144","109940","14208","13738","1984","1857","23616","9856","235050","25","15","26","51300","57","52","2883","0","0",
2022-03-04 16:17:52,"61734892","26","0","0","0","527","1168","23","0","59","13","21","0","0","0","6606616","742248","713440","28808","0","0","96","62","13","22","135","1","62","262144","75291","14208","13738","1984","1857","23616","9856","175660","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:17:57,"61707440","26","0","0","0","527","1166","22","0","63","14","16","0","0","0","6606616","770124","741316","28808","0","0","96","65","14","22","131","0","62","262144","109666","14208","13757","1984","1857","23616","9920","418752","36","26","29","62608","57","52","2883","0","0",
2022-03-04 16:18:02,"61799444","26","0","0","0","527","1169","22","0","63","13","16","0","0","0","6606616","667628","638820","28808","0","0","96","66","14","22","134","0","65","262144","156870","14208","13757","1984","1857","23616","9984","392089","39","26","29","65692","57","52","2883","0","0",
2022-03-04 16:18:07,"61817296","26","0","0","0","527","1166","19","0","62","13","18","0","0","0","6606616","647164","618356","28808","0","0","96","64","14","22","137","0","62","262144","102321","14208","13757","1984","1857","23616","9984","357485","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:12,"61731520","26","0","0","0","527","1169","21","0","63","13","15","0","0","0","6606616","733388","704580","28808","0","0","96","66","14","22","131","0","62","262144","26428","14208","13757","1984","1857","23616","9984","364852","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:17,"61869584","26","0","0","0","527","1168","19","0","61","12","19","0","0","0","6606616","598848","570040","28808","0","0","96","64","13","22","131","0","62","262144","55359","14208","13757","1984","1857","23616","9984","319459","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:22,"61733312","26","0","0","0","527","1169","3","0","58","13","22","0","0","0","6606616","737236","708428","28808","0","0","96","61","13","22","134","1","62","262144","118493","14208","13757","1984","1857","23616","9984","254865","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:18:27,"61706860","26","0","0","0","527","1169","22","0","63","13","16","0","0","0","6606616","760608","731800","28808","0","0","96","66","14","22","130","0","62","262144","9448","14208","13762","1984","1857","23616","9984","340759","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:32,"61754548","26","0","0","0","527","1169","23","0","63","13","17","0","0","0","6606616","711488","682680","28808","0","0","96","65","14","22","136","0","62","262144","39246","14208","13762","1984","1857","23616","9984","426208","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:37,"61740704","26","0","0","0","527","1169","22","0","63","13","16","0","0","0","6606616","723916","695108","28808","0","0","96","65","14","22","130","0","62","262144","85551","14208","13762","1984","1857","23616","9984","440367","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:42,"61733908","26","0","0","0","527","1165","21","0","61","14","17","0","0","0","6606616","731376","702568","28808","0","0","96","64","14","22","129","0","62","262144","77756","14208","13762","1984","1857","23616","9984","418591","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:47,"61809524","26","0","0","0","527","1162","23","0","62","13","18","0","0","0","6606616","655804","626996","28808","0","0","96","64","14","22","136","0","62","262144","102886","14208","13762","1984","1857","23616","9984","378180","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:18:52,"61704712","26","0","0","0","527","1144","7","0","60","12","21","0","0","0","6606616","762188","733380","28808","0","0","96","62","13","22","130","0","44","262144","72372","14208","13762","1984","1857","23616","9984","336789","18","8","26","44104","57","52","2883","0","0",
2022-03-04 16:18:57,"61829176","26","0","0","0","527","1163","22","0","59","12","22","0","0","0","6606616","633740","604932","28808","0","0","96","61","13","22","133","1","62","262144","136670","14208","13762","1984","1857","23616","9984","250514","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:19:02,"61742292","26","0","0","0","527","1164","22","0","61","13","18","0","0","0","6606616","724936","696128","28808","0","0","96","64","13","22","132","0","62","262144","64664","14208","13762","1984","1857","23616","9984","418947","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:19:07,"61705020","26","0","0","0","527","1165","24","0","63","13","16","0","0","0","6606616","761228","732420","28808","0","0","96","65","14","22","130","0","62","262144","31919","14208","13762","1984","1857","23616","9984","420677","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:19:12,"61797016","26","0","0","0","526","1165","24","0","63","13","17","0","0","0","6606616","668512","639704","28808","0","0","96","66","13","22","135","0","62","262144","64798","14208","13762","1984","1857","23616","9984","401839","36","26","26","62608","57","52","2883","0","0",
