Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61890864","26","0","","","527","1136","2","0","","","","","","","6605588","591192","562492","28700","0","0","96","","","23","","","32","","","14336","13857","2048","1866","23616","10048","","10","1","","","","","2903","","",

Last 30 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 16:09:06,"62459668","26","0","","","533","1130","6","0","","","","","","","3078528","31564","8192","23372","0","0","96","","","2","","","19","262144","1918","128","49","64","2","21504","7488","41407","9","1","","16420","3","0","444","","",
2022-03-04 16:09:11,"61822124","26","0","0","0","534","1171","22","0","61","12","20","0","0","0","6606616","685024","656320","28704","0","0","96","64","12","22","28838","25261","60","262144","84505","14080","13749","1984","1883","21504","9472","457114","34","24","38","60552","133","128","2943","2499","0",
2022-03-04 16:09:16,"61980632","26","0","0","0","534","1173","24","0","75","6","16","0","0","0","6606616","526984","498280","28704","0","0","96","76","5","22","206","0","61","262144","150165","14144","13714","2048","1856","23616","9600","278772","35","25","31","61580","57","52","2883","17","77",
2022-03-04 16:09:21,"61796680","27","0","0","0","534","1187","9","0","60","12","20","0","0","0","6606616","672748","644044","28704","0","0","96","63","12","22","147","0","47","262144","160766","14144","13714","2048","1856","23616","9600","212026","21","11","29","47188","57","52","2883","0","0",
2022-03-04 16:09:26,"61850664","27","0","0","0","534","1210","22","0","61","11","20","0","0","0","6606616","617340","588636","28704","0","0","96","64","12","22","146","1","62","262144","26758","14144","13718","2048","1856","23616","9664","255947","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:09:31,"61888636","27","0","0","0","534","1213","17","0","60","13","19","0","0","0","6606616","579500","550796","28704","0","0","96","63","14","22","142","0","64","262144","75527","14208","13720","2048","1856","23616","9664","233599","38","26","28","64664","57","52","2883","0","0",
2022-03-04 16:09:36,"61833048","27","0","0","0","531","1207","26","0","60","13","19","0","0","0","6606616","652172","623468","28704","0","0","96","62","14","22","140","0","62","262144","57687","14208","13721","2048","1856","23616","9664","373866","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:09:41,"61810132","27","0","0","0","531","1206","19","0","61","13","18","0","0","0","6606616","675672","646968","28704","0","0","96","64","14","22","141","0","62","262144","83612","14208","13723","2048","1856","23616","9664","418939","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:09:46,"61795780","27","0","0","0","531","1205","22","0","60","13","18","0","0","0","6606616","691980","663276","28704","0","0","96","63","14","22","141","0","62","262144","116234","14208","13731","2048","1856","23616","9664","433261","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:09:51,"61842964","26","0","0","0","530","1180","20","0","60","13","19","0","0","0","6606616","668276","639572","28704","0","0","96","63","14","22","141","0","62","262144","65123","14208","13740","2048","1856","23616","9728","407378","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:09:56,"61843984","26","0","0","0","528","1178","22","0","61","13","18","0","0","0","6606616","667764","639060","28704","0","0","96","64","14","22","142","1","62","262144","79034","14208","13749","2048","1856","23616","9792","398006","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:10:01,"61840472","26","0","0","0","528","1178","21","0","60","13","18","0","0","0","6606616","669424","640720","28704","0","0","96","63","14","22","140","0","62","262144","157677","14208","13749","2048","1856","23616","9792","393923","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:10:06,"61829244","26","0","0","0","528","1178","20","0","61","14","17","0","0","0","6606616","676048","647344","28704","0","0","96","64","14","22","140","0","62","262144","14266","14208","13757","2048","1856","23616","9792","222962","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:10:11,"61830976","26","0","0","0","528","1168","23","0","58","14","21","0","0","0","6606616","675008","646304","28704","0","0","96","61","14","22","140","0","62","262144","156079","14208","13761","2048","1856","23616","9792","308769","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:10:16,"61753884","26","0","0","0","528","1168","19","0","60","14","18","0","0","0","6606616","752636","723932","28704","0","0","96","64","14","22","140","0","62","262144","136100","14208","13763","2048","1856","23616","9856","344899","36","26","29","62608","57","52","2883","0","0",
2022-03-04 16:10:21,"61875352","26","0","0","0","528","1156","10","0","61","13","18","0","0","0","6606616","632192","603488","28704","0","0","96","64","13","22","140","0","50","262144","40112","14208","13763","2048","1856","23616","9856","335046","24","14","26","50272","57","52","2883","0","0",
2022-03-04 16:10:26,"61843220","26","0","0","0","528","1167","22","0","58","12","23","0","0","0","6606616","665676","636972","28704","0","0","96","60","12","22","142","1","62","262144","59940","14208","13763","2048","1856","23616","9856","275599","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:10:31,"61812672","26","0","0","0","528","1166","22","0","62","13","17","0","0","0","6606616","692220","663516","28704","0","0","96","64","14","22","140","0","62","262144","145941","14208","13763","2048","1856","23616","9856","352378","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:10:36,"61837340","26","0","0","0","528","1171","22","0","62","14","17","0","0","0","6606616","671056","642352","28704","0","0","96","65","14","22","139","0","65","262144","148854","14208","13781","2048","1856","23616","9920","267177","39","26","29","65692","57","52","2883","0","0",
2022-03-04 16:10:41,"61881200","26","0","0","0","528","1171","23","0","63","13","17","0","0","0","6606616","627492","598788","28704","0","0","96","65","14","22","141","0","65","262144","84702","14208","13781","2048","1856","23616","9920","268623","39","26","29","65692","57","52","2883","0","0",
2022-03-04 16:10:46,"61870900","26","0","0","0","528","1168","23","0","64","13","15","0","0","0","6606616","633168","604464","28704","0","0","96","67","14","22","139","0","63","262144","70073","14208","13781","2048","1856","23616","9920","271517","37","26","26","63636","57","52","2883","0","0",
2022-03-04 16:10:51,"61823468","26","0","0","0","528","1168","22","0","59","13","20","0","0","0","6606616","681108","652404","28704","0","0","96","62","14","22","139","1","62","262144","31862","14208","13781","2048","1856","23616","9920","366141","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:10:56,"61806632","26","0","0","0","528","1167","23","0","62","13","17","0","0","0","6606616","700508","671804","28704","0","0","96","64","14","22","141","0","62","262144","158982","14208","13782","2048","1856","23616","9984","407095","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:01,"61787244","26","0","0","0","528","1166","24","0","62","14","17","0","0","0","6606616","721620","692916","28704","0","0","96","64","14","22","141","0","62","262144","151922","14208","13782","2048","1856","23616","9984","457973","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:06,"61770632","26","0","0","0","528","1167","24","0","62","14","16","0","0","0","6606616","736492","707788","28704","0","0","96","65","14","22","140","0","62","262144","77113","14272","13787","2048","1856","23616","9984","472856","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:11,"61791304","26","0","0","0","528","1166","20","0","61","14","17","0","0","0","6606616","712704","684000","28704","0","0","96","64","14","22","138","0","62","262144","82740","14272","13787","2048","1856","23616","9984","234684","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:16,"61822308","26","0","0","0","528","1141","1","0","58","13","21","0","0","0","6606616","686776","658072","28704","0","0","96","61","13","22","140","1","38","262144","9484","14272","13787","2048","1856","23616","9984","199446","12","2","26","37936","57","52","2883","0","0",
2022-03-04 16:11:21,"61829128","26","0","0","0","528","1166","23","0","63","13","17","0","0","0","6606616","680272","651568","28704","0","0","96","65","13","22","140","0","62","262144","155237","14272","13787","2048","1856","23616","9984","411989","36","26","52","62608","57","52","2883","0","0",
2022-03-04 16:11:26,"61828764","26","0","0","0","528","1166","16","0","62","14","16","0","0","0","6606616","677292","648588","28704","0","0","96","65","14","22","139","0","62","262144","95554","14272","13787","2048","1856","23616","9984","405419","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:31,"61816808","26","0","0","0","528","1166","22","0","62","14","17","0","0","0","6606616","692556","663852","28704","0","0","96","64","15","22","139","0","62","262144","30828","14272","13787","2048","1856","23616","9984","412603","36","26","26","62608","57","52","2883","0","0",
2022-03-04 16:11:36,"61815568","26","0","0","0","528","1168","22","0","60","13","19","0","0","0","6606616","689284","660580","28704","0","0","96","63","14","22","142","0","62","262144","106408","14272","13787","2048","1856","23616","10048","276026","36","26","26","62608","57","52","2883","0","0",
