Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61311008","28","0","","","536","1175","4","0","","","","","","","6605712","980724","952100","28624","0","0","96","","","23","","","32","","","14400","13889","2048","1878","23680","10176","","10","1","","","","","2915","","",

Last 30 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 16:23:48,"62434828","26","0","","","527","1125","3","0","","","","","","","3078528","31836","8176","23660","0","0","96","","","2","","","19","262144","1918","128","49","64","2","21504","7488","41410","9","1","","16420","3","0","444","","",
2022-03-04 16:23:53,"61785720","26","0","0","0","527","1148","9","0","63","9","23","0","0","0","6606740","684836","656208","28628","0","0","96","65","9","22","28843","25261","46","262144","73021","14144","13818","2048","1903","21504","9728","397491","20","10","38","46160","150","145","2972","2528","0",
2022-03-04 16:23:58,"61708884","26","0","0","0","527","1164","20","0","61","10","23","0","0","0","6606740","759056","730428","28628","0","0","96","63","11","22","193","1","62","262144","57233","14208","13750","2048","1868","23680","9792","262689","36","26","54","62608","57","52","2895","17","94",
2022-03-04 16:24:03,"61660004","26","0","0","0","527","1164","23","0","65","12","16","0","0","0","6606740","804468","775840","28628","0","0","96","67","13","22","137","0","62","262144","24855","14272","13752","2048","1868","23680","9792","241798","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:24:08,"61650176","26","0","0","0","527","1163","22","0","63","12","17","0","0","0","6606740","816432","787804","28628","0","0","96","66","13","22","131","0","62","262144","97259","14272","13755","2048","1868","23680","9856","256458","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:24:13,"61641880","26","0","0","0","527","1166","23","0","65","12","16","0","0","0","6606740","826248","797620","28628","0","0","96","67","12","22","131","0","64","262144","125442","14272","13756","2048","1868","23680","9856","363175","38","26","28","64664","57","52","2895","0","0",
2022-03-04 16:24:18,"61598048","27","0","0","0","529","1196","21","0","63","12","17","0","0","0","6606740","831928","803300","28628","0","0","96","66","12","22","130","0","62","262144","82251","14272","13758","2048","1868","23680","9856","370978","36","24","26","62608","57","52","2895","0","0",
