time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-02 19:09:16,"57521804","45","0","","","544","1590","3","0","","","","","","","4210184","308120","284272","23848","0","0","96","","","2","","","36","262144","1918","128","49","64","2","21504","7488","41275","9","1","","33828","3","0","444","","",
2022-03-02 19:09:17,"57348672","45","0","0","0","545","1637","27","0","45","2","51","0","0","0","6606740","474208","445644","28564","0","0","96","46","2","22","28793","25261","72","262144","85722","14080","13783","1984","1889","21504","9344","137790","46","26","38","72888","135","130","2946","2502","0",
2022-03-02 19:09:18,"57152044","46","0","0","0","546","1649","18","0","72","11","12","0","0","0","6606740","641120","612364","28756","0","0","96","72","11","22","156","0","65","262144","95310","14080","13783","1984","1889","21504","9600","289636","39","26","0","65692","135","130","2946","0","0",
2022-03-02 19:09:19,"57130088","46","0","0","0","546","1648","22","0","73","11","11","0","0","0","6606740","660644","631888","28756","0","0","96","75","11","22","143","0","64","262144","10621","14080","13784","1984","1889","21504","9600","292320","38","26","0","64664","135","130","2946","0","0",
2022-03-02 19:09:20,"57052988","46","0","0","0","546","1644","21","0","71","11","12","0","0","0","6606740","734184","705428","28756","0","0","96","74","11","22","140","0","62","262144","148443","14080","13784","1984","1889","21504","9600","238236","36","26","0","62608","135","130","2946","0","0",
2022-03-02 19:09:21,"57013968","46","0","0","0","546","1637","18","0","71","9","15","0","0","0","6606740","779196","750440","28756","0","0","96","73","10","22","139","0","55","262144","156815","14080","13785","1984","1889","21504","9600","292452","29","19","0","55412","135","130","2946","0","0",
2022-03-02 19:09:22,"57000644","46","0","0","0","547","1651","25","0","40","4","54","0","0","0","6606740","786372","757616","28756","0","0","96","41","4","22","190","0","67","262144","54688","14272","13754","2048","1861","23808","9664","235816","41","26","31","67748","57","52","2884","17","79",
2022-03-02 19:09:23,"56991168","46","0","0","0","547","1647","25","0","69","13","11","0","0","0","6606740","799560","770804","28756","0","0","96","71","13","22","141","0","62","262144","152073","14272","13754","2048","1861","23808","9664","226693","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:24,"56966732","46","0","0","0","547","1646","21","0","69","12","12","0","0","0","6606740","825660","796904","28756","0","0","96","72","12","22","136","0","62","262144","99564","14272","13754","2048","1861","23808","9664","259589","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:25,"56937260","46","0","0","0","547","1646","20","0","70","14","11","0","0","0","6606740","855464","826708","28756","0","0","96","71","14","22","135","0","62","262144","141827","14272","13754","2048","1861","23808","9664","406899","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:26,"57170400","46","0","0","0","547","1637","7","0","60","11","24","0","0","0","6606616","624204","595448","28756","0","0","96","62","11","22","137","0","46","262144","36699","14272","13754","2048","1861","23808","9664","191512","20","10","0","46160","57","52","2884","0","0",
2022-03-02 19:09:27,"57096160","46","0","0","0","547","1653","5","0","51","11","31","0","0","0","6606616","704408","675652","28756","0","0","96","54","12","22","136","0","62","262144","98794","14272","13754","2048","1861","23808","9664","284746","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:28,"57064824","46","0","0","0","547","1653","20","0","67","13","13","0","0","0","6606616","731864","703108","28756","0","0","96","70","14","22","138","0","62","262144","35540","14272","13754","2048","1861","23808","9664","259152","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:29,"57008884","46","0","0","0","547","1652","25","0","70","13","11","0","0","0","6606616","788096","759340","28756","0","0","96","72","13","22","135","0","62","262144","153425","14272","13754","2048","1861","23808","9664","291332","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:30,"57008380","46","0","0","0","547","1651","21","0","67","14","12","0","0","0","6606616","788096","759340","28756","0","0","96","70","15","22","136","0","62","262144","150856","14272","13754","2048","1861","23808","9664","237535","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:31,"57006364","46","0","0","0","547","1651","24","0","47","8","40","0","0","0","6606616","792524","763768","28756","0","0","96","49","9","22","137","0","62","262144","90644","14272","13754","2048","1861","23808","9728","152560","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:32,"57004600","46","0","0","0","547","1651","24","0","67","13","12","0","0","0","6606616","793316","764560","28756","0","0","96","71","14","22","136","0","62","262144","12569","14272","13754","2048","1861","23808","9728","304161","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:33,"57012604","46","0","0","0","546","1638","23","0","69","13","11","0","0","0","6606616","793576","764820","28756","0","0","96","71","14","22","135","0","62","262144","129058","14272","13754","2048","1861","23808","9728","338521","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:34,"57001820","46","0","0","0","546","1638","18","0","68","12","13","0","0","0","6606616","807260","778504","28756","0","0","96","71","13","22","134","0","62","262144","92123","14272","13754","2048","1861","23808","9728","264973","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:35,"57000308","46","0","0","0","546","1639","21","0","58","10","27","0","0","0","6606616","808624","779868","28756","0","0","96","60","10","22","136","0","62","262144","17775","14272","13759","2048","1861","23808","9728","261948","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:36,"57155900","46","0","0","0","546","1640","21","0","68","13","12","0","0","0","6606616","650856","622100","28756","0","0","96","71","14","22","137","0","62","262144","48164","14272","13759","2048","1861","23808","9728","227394","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:37,"57015940","46","0","0","0","546","1640","17","0","67","13","12","0","0","0","6606616","791472","762716","28756","0","0","96","70","14","22","134","0","62","262144","7820","14272","13759","2048","1861","23808","9728","410156","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:38,"57015940","46","0","0","0","546","1640","20","0","67","14","12","0","0","0","6606616","791472","762716","28756","0","0","96","70","14","22","134","0","62","262144","82219","14272","13759","2048","1861","23808","9728","187346","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:39,"57011752","46","0","0","0","546","1635","20","0","67","13","14","0","0","0","6606616","794420","765664","28756","0","0","96","69","13","22","134","0","57","262144","7864","14272","13759","2048","1861","23808","9728","403212","31","21","0","57468","57","52","2884","0","0",
2022-03-02 19:09:40,"56997068","46","0","0","0","546","1642","22","0","56","10","29","0","0","0","6606616","810496","781740","28756","0","0","96","58","11","22","137","0","64","262144","124759","14272","13760","2048","1861","23808","9728","329407","38","26","28","64664","57","52","2884","0","0",
2022-03-02 19:09:41,"56984716","46","0","0","0","546","1642","24","0","69","13","12","0","0","0","6606616","821836","793080","28756","0","0","96","71","13","22","134","0","64","262144","136534","14272","13760","2048","1861","23808","9728","298373","38","26","0","64664","57","52","2884","0","0",
2022-03-02 19:09:42,"56934064","46","0","0","0","546","1642","24","0","68","14","12","0","0","0","6606616","874300","845544","28756","0","0","96","71","14","22","134","0","64","262144","39370","14272","13760","2048","1861","23808","9728","436841","38","26","0","64664","57","52","2884","0","0",
2022-03-02 19:09:43,"56932552","46","0","0","0","546","1642","19","0","68","13","13","0","0","0","6606616","874300","845544","28756","0","0","96","71","13","22","134","0","64","262144","124525","14272","13760","2048","1861","23808","9728","244792","38","26","0","64664","57","52","2884","0","0",
2022-03-02 19:09:44,"56932300","46","0","0","0","546","1640","23","0","56","10","29","0","0","0","6606616","876168","847412","28756","0","0","96","58","11","22","135","0","62","262144","13655","14272","13761","2048","1861","23808","9728","380345","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:45,"56944908","46","0","0","0","545","1637","23","0","69","13","11","0","0","0","6606616","876168","847412","28756","0","0","96","72","13","22","134","0","62","262144","48347","14272","13761","2048","1861","23808","9728","384647","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:46,"57027068","46","0","0","0","545","1637","22","0","65","13","16","0","0","0","6606616","795436","766680","28756","0","0","96","67","13","22","136","0","62","262144","85541","14272","13761","2048","1861","23808","9728","352658","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:47,"57020768","46","0","0","0","545","1637","20","0","69","13","12","0","0","0","6606616","803580","774824","28756","0","0","96","71","14","22","134","0","62","262144","20046","14272","13761","2048","1861","23808","9728","317294","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:48,"57003660","45","0","0","0","544","1614","24","0","54","11","28","0","0","0","6606616","839780","811024","28756","0","0","96","57","12","22","135","0","62","262144","40613","14272","13763","2048","1861","23808","9728","261002","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:49,"56985516","45","0","0","0","544","1614","21","0","67","15","11","0","0","0","6606616","861368","832612","28756","0","0","96","70","16","22","134","0","62","262144","102274","14272","13763","2048","1861","23808","9728","465027","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:50,"56984004","45","0","0","0","544","1612","22","0","68","14","13","0","0","0","6606616","861368","832612","28756","0","0","96","70","14","22","134","0","62","262144","139763","14272","13763","2048","1861","23808","9728","208877","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:51,"56984004","45","0","0","0","544","1612","25","0","68","15","11","0","0","0","6606616","862152","833396","28756","0","0","96","70","15","22","134","0","62","262144","155585","14272","13763","2048","1861","23808","9728","416398","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:53,"56982240","45","0","0","0","544","1600","12","0","32","6","9","0","0","0","6606616","863804","835048","28756","0","0","96","33","6","22","134","0","51","262144","41563","14272","13763","2048","1861","23808","9728","170419","25","15","0","51300","57","52","2884","0","0",
2022-03-02 19:09:54,"56977956","45","0","0","0","544","1612","24","0","54","10","30","0","0","0","6606616","867508","838752","28756","0","0","96","57","11","22","135","0","62","262144","98402","14272","13771","2048","1861","23808","9728","314901","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:55,"56977956","45","0","0","0","544","1611","23","0","67","14","12","0","0","0","6606616","867508","838752","28756","0","0","96","70","15","22","135","0","62","262144","58726","14272","13771","2048","1861","23808","9728","290096","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:56,"56972680","45","0","0","0","544","1611","22","0","68","13","13","0","0","0","6606616","873300","844544","28756","0","0","96","71","13","22","134","0","62","262144","128462","14272","13771","2048","1861","23808","9728","327415","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:09:57,"57190276","45","0","0","0","544","1610","17","0","67","13","13","0","0","0","6606616","656872","628116","28756","0","0","96","70","14","22","136","0","61","262144","44818","14272","13771","2048","1861","23808","9728","229648","35","25","0","61580","57","52","2884","0","0",
2022-03-02 19:09:58,"57101200","45","0","0","0","544","1611","24","0","55","8","32","0","0","0","6606616","744832","716076","28756","0","0","96","57","9","22","135","0","62","262144","126806","14272","13779","2048","1861","23808","9792","300620","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:09:59,"57077260","45","0","0","0","544","1611","23","0","69","14","11","0","0","0","6606616","770704","741948","28756","0","0","96","72","14","22","134","0","62","262144","151515","14272","13779","2048","1861","23808","9792","373461","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:00,"57030388","45","0","0","0","544","1611","25","0","67","13","13","0","0","0","6606616","814264","785508","28756","0","0","96","70","13","22","134","0","62","262144","140090","14272","13779","2048","1861","23808","9792","298159","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:01,"57029884","45","0","0","0","544","1609","21","0","68","14","11","0","0","0","6606616","814264","785508","28756","0","0","96","71","14","22","134","0","62","262144","9204","14272","13779","2048","1861","23808","9792","313114","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:02,"57028632","45","0","0","0","544","1609","24","0","54","10","31","0","0","0","6606616","816940","788184","28756","0","0","96","56","10","22","138","0","62","262144","27100","14272","13786","2048","1861","23808","9792","247779","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:10:03,"57026868","45","0","0","0","544","1609","23","0","69","13","13","0","0","0","6606616","818776","790020","28756","0","0","96","71","13","22","134","0","62","262144","104461","14272","13786","2048","1861","23808","9792","291019","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:04,"57023852","45","0","0","0","544","1609","23","0","66","15","11","0","0","0","6606616","822968","794212","28756","0","0","96","69","16","22","134","0","62","262144","12963","14272","13786","2048","1861","23808","9792","430050","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:05,"56998904","45","0","0","0","544","1609","25","0","67","13","15","0","0","0","6606616","845100","816344","28756","0","0","96","69","13","22","134","0","62","262144","13509","14272","13786","2048","1861","23808","9792","269903","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:06,"56998904","45","0","0","0","544","1588","4","0","52","9","35","0","0","0","6606616","846684","817928","28756","0","0","96","53","9","22","134","0","42","262144","19470","14272","13786","2048","1861","23808","9792","322255","16","6","0","42048","57","52","2884","0","0",
2022-03-02 19:10:07,"57156268","45","0","0","0","544","1609","24","0","63","11","20","0","0","0","6606616","688652","659896","28756","0","0","96","66","11","22","138","0","62","262144","141769","14272","13789","2048","1861","23808","9856","263879","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:10:08,"57048300","45","0","0","0","544","1609","23","0","67","13","13","0","0","0","6606616","796020","767264","28756","0","0","96","70","14","22","135","0","62","262144","154340","14272","13789","2048","1861","23808","9856","357311","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:09,"57031432","45","0","0","0","544","1610","23","0","68","13","11","0","0","0","6606616","811068","782312","28756","0","0","96","72","14","22","135","0","62","262144","52615","14272","13789","2048","1861","23808","9856","433350","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:10,"56967680","45","0","0","0","543","1599","17","0","67","12","15","0","0","0","6606616","873808","845052","28756","0","0","96","69","12","22","134","0","54","262144","80963","14272","13789","2048","1861","23808","9856","339990","28","18","0","54384","57","52","2884","0","0",
2022-03-02 19:10:11,"56965664","45","0","0","0","543","1608","24","0","56","10","29","0","0","0","6606616","874980","846224","28756","0","0","96","58","11","22","135","0","62","262144","155572","14272","13789","2048","1861","23808","9856","328014","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:10:12,"56964156","45","0","0","0","543","1608","22","0","68","13","12","0","0","0","6606616","876556","847800","28756","0","0","96","71","13","22","134","0","62","262144","32317","14272","13789","2048","1861","23808","9856","298994","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:13,"56965668","45","0","0","0","543","1608","26","0","66","13","13","0","0","0","6606616","877604","848848","28756","0","0","96","69","14","22","134","0","62","262144","110043","14272","13789","2048","1861","23808","9856","413954","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:14,"56965428","45","0","0","0","543","1608","20","0","67","13","14","0","0","0","6606616","877604","848848","28756","0","0","96","69","14","22","134","0","62","262144","58773","14272","13789","2048","1861","23808","9856","237956","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:15,"56965176","45","0","0","0","543","1607","26","0","44","8","44","0","0","0","6606616","879104","850348","28756","0","0","96","46","8","22","134","0","62","262144","52760","14272","13797","2048","1861","23808","9856","344364","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:10:16,"56964672","45","0","0","0","543","1607","19","0","68","14","11","0","0","0","6606616","879104","850348","28756","0","0","96","70","15","22","134","0","62","262144","21525","14272","13797","2048","1861","23808","9856","357624","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:17,"57068196","45","0","0","0","543","1607","25","0","66","14","17","0","0","0","6606616","774192","745436","28756","0","0","96","69","14","22","136","0","62","262144","8624","14272","13797","2048","1861","23808","9856","337046","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:18,"57064720","45","0","0","0","543","1607","25","0","68","14","11","0","0","0","6606616","780188","751432","28756","0","0","96","71","14","22","134","0","62","262144","67520","14272","13797","2048","1861","23808","9856","293032","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:19,"57031964","45","0","0","0","543","1585","2","0","55","10","30","0","0","0","6606616","814020","785264","28756","0","0","96","56","10","22","134","0","40","262144","60740","14272","13797","2048","1861","23808","9856","237347","14","4","0","39992","57","52","2884","0","0",
2022-03-02 19:10:20,"57014828","45","0","0","0","543","1607","22","0","62","12","20","0","0","0","6606616","831592","802836","28756","0","0","96","65","12","22","134","0","62","262144","18799","14336","13801","2048","1861","23808","9856","438687","36","26","26","62608","57","52","2884","0","0",
2022-03-02 19:10:21,"57010544","45","0","0","0","543","1607","23","0","68","13","11","0","0","0","6606616","833436","804680","28756","0","0","96","71","14","22","134","0","62","262144","23936","14336","13801","2048","1861","23808","9856","397308","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:22,"56953600","45","0","0","0","543","1610","23","0","70","12","12","0","0","0","6606616","888836","860080","28756","0","0","96","72","13","22","134","0","62","262144","14838","14336","13801","2048","1861","23808","9856","369293","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:10:23,"56953600","45","0","0","0","543","1605","19","0","66","13","15","0","0","0","6606616","889072","860316","28756","0","0","96","67","14","22","134","0","57","262144","130386","14336","13801","2048","1861","23808","9856","332286","31","21","0","57468","57","52","2884","0","0",
2022-03-02 19:10:24,"56941756","45","0","0","0","543","1612","24","0","56","11","29","0","0","0","6606616","902984","874228","28756","0","0","96","58","11","22","134","0","65","262144","31955","14336","13803","2048","1861","23808","9920","281419","39","26","29","65692","57","52","2884","0","0",
2022-03-02 19:10:25,"56913784","45","0","0","0","543","1610","23","0","68","13","11","0","0","0","6606616","931556","902800","28756","0","0","96","71","14","22","134","0","63","262144","131543","14336","13803","2048","1861","23808","9920","487292","37","26","0","63636","57","52","2884","0","0",
