time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-02 19:12:57,"57531464","45","0","","","541","1581","2","0","","","","","","","4210184","307644","283716","23928","0","0","96","","","2","","","36","262144","1918","128","49","64","2","21504","7488","41275","9","1","","33828","3","0","444","","",
2022-03-02 19:12:58,"57353748","45","0","0","0","541","1615","6","0","47","3","50","0","0","0","6606740","485980","457160","28820","0","0","96","48","3","22","28796","25261","72","262144","121520","14016","13753","1984","1882","21504","9408","161377","46","26","38","72888","123","118","2934","2490","0",
2022-03-02 19:12:59,"57185728","45","0","0","0","541","1609","25","0","74","10","10","0","0","0","6606740","657472","628652","28820","0","0","96","77","10","22","155","0","66","262144","35144","14016","13753","1984","1882","21504","9472","303636","40","26","0","66720","123","118","2934","0","0",
2022-03-02 19:13:00,"57159472","45","0","0","0","541","1608","24","0","74","10","11","0","0","0","6606740","678296","649476","28820","0","0","96","77","10","22","143","0","65","262144","119343","14016","13753","1984","1882","21504","9472","299629","39","26","0","65692","123","118","2934","0","0",
2022-03-02 19:13:01,"57082776","45","0","0","0","541","1605","20","0","74","10","11","0","0","0","6606740","755824","727004","28820","0","0","96","76","11","22","141","0","62","262144","158898","14016","13753","1984","1882","21504","9472","258420","36","24","0","62608","123","118","2934","0","0",
2022-03-02 19:13:02,"57047836","45","0","0","0","541","1582","7","0","48","5","45","0","0","0","6606740","794032","765212","28820","0","0","96","48","5","22","140","0","41","262144","61907","14016","13755","1984","1882","21504","9536","208678","15","5","0","41020","123","118","2934","0","0",
2022-03-02 19:13:03,"57037516","45","0","0","0","541","1604","23","0","60","11","22","0","0","0","6606740","804108","775288","28820","0","0","96","64","12","22","190","0","63","262144","148199","14144","13738","1984","1859","23616","9600","254149","37","26","29","63636","57","52","2884","17","67",
2022-03-02 19:13:04,"57030360","45","0","0","0","542","1608","20","0","70","12","12","0","0","0","6606740","806224","777404","28820","0","0","96","73","12","22","135","0","62","262144","18222","14144","13738","1984","1859","23616","9600","234519","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:13:05,"57005252","45","0","0","0","542","1608","21","0","72","12","11","0","0","0","6606740","832848","804028","28820","0","0","96","74","12","22","134","0","62","262144","80176","14144","13738","1984","1859","23616","9600","201330","36","26","0","62608","57","52","2884","0","0",
2022-03-02 19:13:06,"56989384","45","0","0","0","542","1587","4","0","61","9","25","0","0","0","6606740","852068","823248","28820","0","0","96","62","9","22","136","0","41","262144","41471","14144","13738","1984","1859","23616","9600","381953","15","5","0","41020","57","52","2884","0","0",
