Vitals:
------------system------------
           avail: Memory available without swapping
             crt: Committed-to-Commit-Limit ratio (percent)
            swap: Swap space used
              si: Number of pages swapped in [delta]
              so: Number of pages pages swapped out [delta]
               p: Number of processes
               t: Number of threads
              pr: Number of processes running
              pb: Number of processes blocked
          cpu-us: Global cpu user time [delta]
          cpu-sy: Global cpu system time [delta]
          cpu-id: Global cpu idle time [delta]
          cpu-wa: Global cpu time spent waiting for IO [delta]
          cpu-st: Global cpu time stolen [delta]
          cpu-gu: Global cpu time spent on guest [delta]
-----------process------------
            virt: Virtual size
         rss-all: Resident set size, total
        rss-anon: Resident set size, anonymous memory (>=4.5)
        rss-file: Resident set size, file mappings (>=4.5)
         rss-shm: Resident set size, shared memory (>=4.5)
            swdo: Memory swapped out
              hp: Process heap segment (brk), resident + swap
          cpu-us: Process cpu user time [delta]
          cpu-sy: Process cpu system time [delta]
           io-of: Number of open files
           io-rd: IO bytes read from storage or cache
           io-wr: IO bytes written
             thr: Number of native threads
-------------jvm--------------
       heap-comm: Java Heap Size, committed
       heap-used: Java Heap Size, used
       meta-comm: Meta Space Size (class+nonclass), committed
       meta-used: Meta Space Size (class+nonclass), used
        meta-csc: Class Space Size, committed
        meta-csu: Class Space Size, used
       meta-gctr: GC threshold
            code: Code cache, committed
             mlc: Memory malloced by hotspot (requires NMT)
        jthr-num: Number of java threads
         jthr-nd: Number of non-demon java threads
         jthr-cr: Threads created [delta]
         jthr-st: Total reserved size of java thread stacks
        cldg-num: Classloader Data
       cldg-anon: Anonymous CLD
         cls-num: Classes (instance + array)
          cls-ld: Class loaded [delta]
         cls-uld: Classes unloaded [delta]

[delta] values refer to the previous measurement.

Now:
                      -----------------------system------------------------ ------------------------process------------------------- --------------------------------------jvm---------------------------------------
                                                          -------cpu-------      --------rss---------          -cpu- ----io-----     --heap--- ---------meta---------           -----jthr----- --cldg-- -----cls-----
                      avail crt swap si so p   t    pr pb us sy id wa st gu virt all   anon  file shm swdo hp  us sy of rd   wr  thr comm used comm used csc csu gctr code mlc  num nd cr  st  num anon num  ld   uld 

                Now   54,1g  45   0k       548 1581  3  0                   6,3g  1,0g  1,0g  28m  0k   0k 96k       23           32            14m  14m  2m  2m  23m  10m       10  1                  2910          

Last 6 minutes:
                      -----------------------system------------------------ ------------------------process------------------------- --------------------------------------jvm---------------------------------------
                                                          -------cpu-------      --------rss---------          -cpu- ----io-----     --heap--- ---------meta---------           -----jthr----- --cldg-- -----cls-----
                      avail crt swap si so p   t    pr pb us sy id wa st gu virt all   anon  file shm swdo hp  us sy of rd   wr  thr comm used comm used csc csu gctr code mlc  num nd cr  st  num anon num  ld   uld 

2022-03-02 19:12:57   54,9g  45   0k       541 1581  2  0                   4,0g  300m  277m  23m  0k   0k 96k        2           36 256m   2m 128k  49k 64k  2k  21m   7m  40m   9  1     33m   3    0  444          
2022-03-02 19:12:58   54,7g  45   0k  0  0 541 1615  6  0 47  3 50  0  0  0 6,3g  475m  446m  28m  0k   0k 96k 48  3 22  28m 25m  72 256m 119m  14m  13m  2m  2m  21m   9m 158m  46 26  38 71m 123  118 2934 2490   0 
2022-03-02 19:12:59   54,5g  45   0k  0  0 541 1609 25  0 74 10 10  0  0  0 6,3g  642m  614m  28m  0k   0k 96k 77 10 22 155k  0k  66 256m  34m  14m  13m  2m  2m  21m   9m 297m  40 26   0 65m 123  118 2934    0   0 
2022-03-02 19:13:00   54,5g  45   0k  0  0 541 1608 24  0 74 10 11  0  0  0 6,3g  662m  634m  28m  0k   0k 96k 77 10 22 143k  0k  65 256m 117m  14m  13m  2m  2m  21m   9m 293m  39 26   0 64m 123  118 2934    0   0 
2022-03-02 19:13:01   54,4g  45   0k  0  0 541 1605 20  0 74 10 11  0  0  0 6,3g  738m  710m  28m  0k   0k 96k 76 11 22 141k  0k  62 256m 155m  14m  13m  2m  2m  21m   9m 252m  36 24   0 61m 123  118 2934    0   0 
2022-03-02 19:13:02   54,4g  45   0k  0  0 541 1582  7  0 48  5 45  0  0  0 6,3g  775m  747m  28m  0k   0k 96k 48  5 22 140k  0k  41 256m  60m  14m  13m  2m  2m  21m   9m 204m  15  5   0 40m 123  118 2934    0   0 
2022-03-02 19:13:03   54,4g  45   0k  0  0 541 1604 23  0 60 11 22  0  0  0 6,3g  785m  757m  28m  0k   0k 96k 64 12 22 190k <1k  63 256m 145m  14m  13m  2m  2m  23m   9m 248m  37 26  29 62m  57   52 2884   17  67 
2022-03-02 19:13:04   54,4g  45   0k  0  0 542 1608 20  0 70 12 12  0  0  0 6,3g  787m  759m  28m  0k   0k 96k 73 12 22 135k  0k  62 256m  18m  14m  13m  2m  2m  23m   9m 229m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:05   54,4g  45   0k  0  0 542 1608 21  0 72 12 11  0  0  0 6,3g  813m  785m  28m  0k   0k 96k 74 12 22 134k  0k  62 256m  78m  14m  13m  2m  2m  23m   9m 197m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:06   54,3g  45   0k  0  0 542 1587  4  0 61  9 25  0  0  0 6,3g  832m  804m  28m  0k   0k 96k 62  9 22 136k  0k  41 256m  40m  14m  13m  2m  2m  23m   9m 373m  15  5   0 40m  57   52 2884    0   0 
2022-03-02 19:13:07   54,3g  45   0k  0  0 542 1608 20  0 66 12 15  0  0  0 6,3g  833m  805m  28m  0k   0k 96k 70 12 22 140k <1k  62 256m  37m  14m  13m  2m  2m  23m   9m 299m  36 26  26 61m  57   52 2884    0   0 
