time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 07:03:22,"59120112","36","0","","","523","1353","2","0","","","","","","","4075504","171352","147500","23852","0","0","96","","","2","","","36","131072","1918","128","49","64","2","21504","7488","42040","9","1","","33828","3","0","444","","",
2022-03-07 07:03:23,"58945024","36","0","0","0","523","1387","24","0","47","3","50","0","0","0","6472060","354732","326048","28684","0","0","96","47","3","22","28779","25261","72","131072","72352","14208","13832","2048","1906","21504","9408","164630","46","26","38","72888","155","150","2978","2534","0",
2022-03-07 07:03:24,"58773624","36","0","0","0","523","1381","19","0","69","13","12","0","0","0","6472060","525340","496468","28872","0","0","96","71","13","22","148","0","65","131072","40218","14208","13832","2048","1906","21504","9536","306396","39","26","0","65692","155","150","2978","0","0",
2022-03-07 07:03:25,"58744228","36","0","0","0","523","1378","22","0","67","13","14","0","0","0","6472060","552192","523320","28872","0","0","96","70","13","22","134","0","62","131072","76513","14208","13832","2048","1906","21504","9536","223318","36","26","0","62608","155","150","2978","0","0",
2022-03-07 07:03:26,"58702900","36","0","0","0","523","1377","23","0","66","14","13","0","0","0","6479692","592988","564116","28872","0","0","96","69","14","22","133","0","61","131072","33605","14208","13832","2048","1906","21504","9536","249778","35","25","0","61580","155","150","2978","0","0",
2022-03-07 07:03:27,"58708436","36","0","0","0","523","1376","17","0","65","11","14","0","0","0","6472060","585852","556980","28872","0","0","96","70","12","22","134","0","59","131072","37689","14208","13834","2048","1906","21504","9600","226577","33","23","0","59524","155","150","2978","0","0",
2022-03-07 07:03:28,"58668400","36","0","0","0","523","1382","22","0","40","7","51","0","0","0","6472060","626804","597932","28872","0","0","96","41","7","22","180","0","65","131072","24776","14336","13758","2048","1868","23936","9600","137161","39","26","29","65692","57","52","2896","17","99",
2022-03-07 07:03:29,"58659664","36","0","0","0","523","1381","22","0","67","13","12","0","0","0","6472060","636036","607164","28872","0","0","96","70","13","22","127","0","64","131072","44890","14336","13758","2048","1868","23936","9600","143646","38","26","0","64664","57","52","2896","0","0",
2022-03-07 07:03:30,"58635636","36","0","0","0","523","1381","23","0","67","14","11","0","0","0","6472060","663172","634300","28872","0","0","96","70","15","22","126","0","64","131072","71152","14336","13758","2048","1868","23936","9600","333585","38","26","0","64664","57","52","2896","0","0",
2022-03-07 07:03:31,"58627596","36","0","0","0","523","1380","22","0","66","13","14","0","0","0","6472060","667596","638724","28872","0","0","96","69","14","22","126","0","64","131072","33729","14336","13758","2048","1868","23936","9600","161928","38","26","0","64664","57","52","2896","0","0",
2022-03-07 07:03:32,"58624572","36","0","0","0","523","1354","2","0","50","9","37","0","0","0","6472060","672928","644056","28872","0","0","96","51","9","22","129","0","39","131072","37390","14336","13758","2048","1868","23936","9600","70513","13","3","0","38964","57","52","2896","0","0",
2022-03-07 07:03:33,"58623084","36","0","0","0","522","1377","22","0","67","13","13","0","0","0","6472060","673192","644320","28872","0","0","96","70","13","22","128","0","62","131072","61822","14336","13758","2048","1868","23936","9664","259176","36","26","26","62608","57","52","2896","0","0",
2022-03-07 07:03:34,"58622804","36","0","0","0","522","1377","25","0","68","13","12","0","0","0","6472060","673192","644320","28872","0","0","96","71","13","22","125","0","62","131072","23098","14336","13758","2048","1868","23936","9664","246055","36","26","0","62608","57","52","2896","0","0",
2022-03-07 07:03:35,"58619032","36","0","0","0","522","1377","20","0","67","12","15","0","0","0","6472060","677920","649048","28872","0","0","96","69","13","22","126","0","62","131072","69534","14336","13758","2048","1868","23936","9664","159411","36","26","0","62608","57","52","2896","0","0",
2022-03-07 07:03:36,"58618072","36","0","0","0","522","1359","7","0","60","10","25","0","0","0","6472060","678612","649740","28872","0","0","96","61","10","22","126","0","45","131072","13025","14336","13758","2048","1868","23936","9664","247098","19","9","0","45132","57","52","2896","0","0",
2022-03-07 07:03:37,"58616772","36","0","0","0","522","1376","2","0","54","9","32","0","0","0","6472060","679448","650576","28872","0","0","96","56","10","22","129","0","62","131072","83402","14336","13759","2048","1868","23936","9664","190608","36","26","26","62608","57","52","2896","0","0",
2022-03-07 07:03:38,"58615020","36","0","0","0","522","1384","22","0","67","13","13","0","0","0","6472060","679448","650576","28872","0","0","96","70","13","22","125","0","62","131072","63701","14336","13759","2048","1868","23936","9664","172321","36","26","0","62608","57","52","2896","0","0",
2022-03-07 07:03:39,"58612240","36","0","0","0","522","1384","22","0","67","13","13","0","0","0","6472060","684180","655308","28872","0","0","96","70","13","22","125","0","62","131072","22445","14336","13759","2048","1868","23936","9664","301905","36","26","0","62608","57","52","2896","0","0",
2022-03-07 07:03:40,"58610476","36","0","0","0","522","1376","16","0","67","12","15","0","0","0","6472060","684572","655700","28872","0","0","96","68","12","22","125","0","54","131072","79696","14336","13759","2048","1868","23936","9664","182659","28","18","0","54384","57","52","2896","0","0",
2022-03-07 07:03:41,"58610224","36","0","0","0","522","1384","23","0","55","9","30","0","0","0","6472060","685004","656132","28872","0","0","96","58","10","22","126","0","62","131072","42110","14336","13762","2048","1868","23936","9664","129945","36","26","26","62608","57","52","2896","0","0",
