time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 06:53:12,"58970952","37","0","","","519","1363","2","0","","","","","","","4075504","171676","147776","23900","0","0","96","","","2","","","36","131072","1918","128","49","64","2","21504","7488","42042","9","1","","33828","3","0","444","","",
2022-03-07 06:53:13,"58815684","37","0","0","0","519","1397","23","0","48","3","48","0","0","0","6472060","329504","300832","28672","0","0","96","49","3","22","28786","25261","72","131072","74399","14144","13802","2048","1901","21504","9344","138139","46","26","38","72888","149","144","2970","2526","0",
2022-03-07 06:53:14,"58658332","37","0","0","0","520","1393","21","0","73","10","11","0","0","0","6472060","489484","460812","28672","0","0","96","75","10","22","150","0","67","131072","73347","14144","13802","2048","1901","21504","9536","287798","41","26","0","67748","149","144","2970","0","0",
2022-03-07 06:53:15,"58631620","37","0","0","0","520","1388","21","0","73","10","11","0","0","0","6472060","511100","482428","28672","0","0","96","76","11","22","138","0","62","131072","62192","14144","13802","2048","1901","21504","9536","283217","36","26","0","62608","149","144","2970","0","0",
2022-03-07 06:53:16,"58564676","37","0","0","0","520","1387","23","0","73","10","11","0","0","0","6472060","579384","550712","28672","0","0","96","75","10","22","137","0","61","131072","38544","14144","13802","2048","1901","21504","9600","180138","35","25","0","61580","149","144","2970","0","0",
2022-03-07 06:53:17,"58562368","37","0","0","0","520","1385","18","0","71","9","16","0","0","0","6472060","582420","553748","28672","0","0","96","72","8","22","134","0","56","131072","34751","14144","13804","2048","1901","21504","9600","230779","30","20","0","56440","149","144","2970","0","0",
2022-03-07 06:53:18,"58550200","37","0","0","0","520","1392","22","0","48","5","45","0","0","0","6472060","594436","565764","28672","0","0","96","49","5","22","183","0","63","131072","78005","14208","13745","2048","1866","23680","9664","143620","37","26","27","63636","57","52","2894","17","93",
2022-03-07 06:53:19,"58547728","37","0","0","0","520","1391","24","0","71","12","11","0","0","0","6472060","597756","569084","28672","0","0","96","73","13","22","131","0","62","131072","59353","14208","13745","2048","1866","23680","9664","180149","36","26","0","62608","57","52","2894","0","0",
2022-03-07 06:53:21,"58520784","37","0","0","0","520","1391","26","0","34","6","6","0","0","0","6472060","624900","596228","28672","0","0","96","36","6","22","129","0","62","131072","63760","14208","13745","2048","1866","23680","9664","263543","36","26","0","62608","57","52","2894","0","0",
2022-03-07 06:53:22,"58520784","37","0","0","0","520","1391","22","0","68","14","11","0","0","0","6472060","624900","596228","28672","0","0","96","70","14","22","129","0","62","131072","49537","14208","13745","2048","1866","23680","9664","210407","36","26","0","62608","57","52","2894","0","0",
2022-03-07 06:53:23,"58519264","37","0","0","0","520","1376","15","0","67","12","14","0","0","0","6472060","626784","598112","28672","0","0","96","70","12","22","129","0","51","131072","25977","14208","13745","2048","1866","23680","9664","158086","25","15","0","51300","57","52","2894","0","0",
2022-03-07 06:53:24,"58518776","37","0","0","0","520","1389","22","0","56","10","30","0","0","0","6472060","627676","599004","28672","0","0","96","57","10","22","133","0","62","131072","23388","14208","13745","2048","1866","23680","9728","204357","36","26","26","62608","57","52","2894","0","0",
2022-03-07 06:53:25,"58518516","37","0","0","0","520","1389","25","0","71","13","10","0","0","0","6472060","627676","599004","28672","0","0","96","73","13","22","127","0","62","131072","13732","14208","13745","2048","1866","23680","9728","214580","36","26","0","62608","57","52","2894","0","0",
2022-03-07 06:53:26,"58512008","37","0","0","0","520","1389","21","0","72","11","11","0","0","0","6472060","633720","605048","28672","0","0","96","74","11","22","131","0","62","131072","16610","14208","13745","2048","1866","23680","9728","165237","36","26","0","62608","57","52","2894","0","0",
2022-03-07 06:53:27,"58511724","37","0","0","0","520","1388","22","0","72","12","11","0","0","0","6472060","633820","605148","28672","0","0","96","73","12","22","127","0","61","131072","17980","14208","13745","2048","1866","23680","9728","230989","35","25","0","61580","57","52","2894","0","0",
2022-03-07 06:53:28,"58509972","37","0","0","0","520","1388","24","0","52","8","35","0","0","0","6472060","634844","606172","28672","0","0","96","54","8","22","131","0","62","131072","67175","14208","13746","2048","1866","23680","9728","144498","36","26","26","62608","57","52","2894","0","0",
2022-03-07 06:53:29,"58509900","37","0","0","0","520","1388","21","0","70","13","11","0","0","0","6472060","634844","606172","28672","0","0","96","72","13","22","127","0","62","131072","43166","14208","13746","2048","1866","23680","9728","133537","36","26","0","62608","57","52","2894","0","0",
