time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-03 11:14:40,"61976392","30","0","","","523","1229","2","1","","","","","","","3078528","30612","8032","22580","0","0","96","","","2","","","19","262144","1918","128","49","64","2","21504","7488","41343","9","1","","16420","3","0","444","","",
2022-03-03 11:14:41,"61714648","30","0","0","0","523","1281","26","0","38","2","59","1","0","0","6606740","305076","277260","27816","0","0","96","39","2","22","28849","25261","72","262144","120886","14080","13800","1984","1893","21504","9344","192301","46","26","38","72888","133","128","2953","2509","0",
2022-03-03 11:14:42,"61537240","30","0","0","0","523","1276","23","0","80","7","8","0","0","0","6606740","482484","454668","27816","0","0","96","82","7","22","153","0","67","262144","153407","14080","13801","1984","1893","21504","9664","250216","41","26","0","67748","133","128","2953","0","0",
2022-03-03 11:14:43,"61521868","30","0","0","0","523","1273","25","0","82","7","6","0","0","0","6606740","496356","468360","27996","0","0","96","84","7","22","138","0","64","262144","141987","14080","13801","1984","1893","21504","9664","260014","38","26","2","64664","133","128","2953","0","0",
2022-03-03 11:14:44,"61469208","30","0","0","0","523","1271","22","0","80","8","6","0","0","0","6606740","546124","518128","27996","0","0","96","84","8","22","131","0","62","262144","82735","14080","13801","1984","1893","21504","9664","222332","36","26","0","62608","133","128","2953","0","0",
2022-03-03 11:14:45,"61457072","30","0","0","0","523","1271","24","0","82","6","8","0","0","0","6606740","559852","531856","27996","0","0","96","83","6","22","131","0","62","262144","147717","14080","13803","1984","1893","21504","9664","111559","36","26","0","62608","133","128","2953","0","0",
2022-03-03 11:14:46,"61439040","30","0","0","0","523","1264","15","0","76","7","14","0","0","0","6606740","577948","549952","27996","0","0","96","78","7","22","131","0","55","262144","8406","14080","13803","1984","1893","21504","9728","265085","29","19","0","55412","133","128","2953","0","0",
2022-03-03 11:14:47,"61429040","30","0","0","0","523","1274","24","0","40","3","55","0","0","0","6606740","590704","562704","28000","0","0","96","41","3","22","180","0","65","262144","105916","14272","13767","2048","1866","23808","9792","146699","39","26","30","65692","57","52","2893","17","77",
2022-03-03 11:14:48,"61440256","29","0","0","0","522","1249","21","0","83","7","5","0","0","0","6606740","597776","569776","28000","0","0","96","85","8","22","127","0","64","262144","131343","14272","13767","2048","1866","23808","9792","163785","38","26","0","64664","57","52","2893","0","0",
2022-03-03 11:14:49,"61436224","29","0","0","0","522","1248","26","0","84","6","6","0","0","0","6606740","601416","573416","28000","0","0","96","86","6","22","127","0","62","262144","141638","14272","13767","2048","1866","23808","9792","140899","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:50,"61616364","29","0","0","0","522","1248","26","0","85","7","6","0","0","0","6606616","420708","392708","28000","0","0","96","86","7","22","128","0","62","262144","92730","14272","13767","2048","1866","23808","9792","153205","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:51,"61553908","29","0","0","0","522","1242","19","0","81","6","9","0","0","0","6606616","486544","458544","28000","0","0","96","82","6","22","127","0","57","262144","122124","14272","13767","2048","1866","23808","9792","231840","31","21","0","57468","57","52","2893","0","0",
2022-03-03 11:14:52,"61531984","29","0","0","0","522","1247","22","0","54","5","39","0","0","0","6606616","506492","478488","28004","0","0","96","55","5","22","128","0","62","262144","46706","14272","13767","2048","1866","23808","9792","129597","36","26","26","62608","57","52","2893","0","0",
2022-03-03 11:14:53,"61525700","29","0","0","0","522","1247","25","0","87","6","4","0","0","0","6606616","513144","485140","28004","0","0","96","88","6","22","126","0","62","262144","121401","14272","13767","2048","1866","23808","9792","132377","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:54,"61517888","29","0","0","0","522","1247","25","0","86","5","5","0","0","0","6606616","520000","491996","28004","0","0","96","88","6","22","126","0","62","262144","91849","14272","13767","2048","1866","23808","9792","108354","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:55,"61517392","29","0","0","0","522","1247","24","0","85","6","6","0","0","0","6606616","520412","492408","28004","0","0","96","86","6","22","126","0","62","262144","43268","14272","13767","2048","1866","23808","9792","91647","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:56,"61517644","29","0","0","0","522","1231","8","0","74","5","20","0","0","0","6606616","521240","493236","28004","0","0","96","73","5","22","126","0","46","262144","21912","14272","13767","2048","1866","23808","9792","185256","20","10","0","46160","57","52","2893","0","0",
2022-03-03 11:14:57,"61516392","29","0","0","0","522","1247","25","0","72","5","21","0","0","0","6606616","522632","494628","28004","0","0","96","73","5","22","127","0","62","262144","18660","14272","13769","2048","1866","23808","9792","157522","36","26","26","62608","57","52","2893","0","0",
2022-03-03 11:14:58,"61514124","29","0","0","0","522","1248","25","0","83","7","5","0","0","0","6606616","525392","497388","28004","0","0","96","86","7","22","126","0","62","262144","59021","14272","13769","2048","1866","23808","9792","170618","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:14:59,"61506580","29","0","0","0","522","1249","24","0","83","7","6","0","0","0","6606616","531724","503720","28004","0","0","96","85","7","22","126","0","62","262144","60056","14272","13769","2048","1866","23808","9792","139961","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:15:00,"61644548","29","0","0","0","522","1247","23","0","82","8","7","0","0","0","6606616","393532","365528","28004","0","0","96","83","8","22","128","0","60","262144","161283","14272","13769","2048","1866","23808","9792","95998","34","24","0","60552","57","52","2893","0","0",
2022-03-03 11:15:01,"61577156","29","0","0","0","522","1249","25","0","52","4","42","0","0","0","6606616","462972","434968","28004","0","0","96","53","4","22","126","0","62","262144","56500","14272","13773","2048","1866","23808","9792","94535","36","26","26","62608","57","52","2893","0","0",
2022-03-03 11:15:02,"61555996","29","0","0","0","522","1249","24","0","86","6","5","0","0","0","6606616","483492","455488","28004","0","0","96","87","6","22","127","0","62","262144","25712","14272","13773","2048","1866","23808","9792","170471","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:15:03,"61551208","29","0","0","0","522","1249","22","0","88","5","5","0","0","0","6606616","487968","459964","28004","0","0","96","88","5","22","126","0","62","262144","86797","14272","13773","2048","1866","23808","9792","161873","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:15:04,"61544404","29","0","0","0","522","1250","24","0","87","5","6","0","0","0","6606616","496668","468664","28004","0","0","96","88","5","22","126","0","62","262144","117287","14272","13773","2048","1866","23808","9792","134650","36","26","0","62608","57","52","2893","0","0",
2022-03-03 11:15:05,"61540372","29","0","0","0","522","1237","12","0","78","5","14","0","0","0","6606616","500808","472804","28004","0","0","96","79","5","22","126","0","49","262144","23400","14272","13773","2048","1866","23808","9792","96288","23","13","0","49244","57","52","2893","0","0",
2022-03-03 11:15:06,"61549656","29","0","0","0","521","1250","24","0","61","4","34","0","0","0","6606616","505664","477660","28004","0","0","96","62","4","22","126","0","64","262144","60152","14272","13774","2048","1866","23808","9856","75952","38","26","28","64664","57","52","2893","0","0",
2022-03-03 11:15:07,"61538144","29","0","0","0","521","1249","25","0","88","6","4","0","0","0","6606616","518828","490824","28004","0","0","96","88","5","22","125","0","64","262144","155755","14272","13774","2048","1866","23808","9856","205268","38","26","0","64664","57","52","2893","0","0",
2022-03-03 11:15:08,"61535120","29","0","0","0","521","1249","21","0","88","5","5","0","0","0","6606616","519092","491088","28004","0","0","96","89","5","22","125","0","64","262144","7652","14272","13774","2048","1866","23808","9856","177276","38","26","0","64664","57","52","2893","0","0",
2022-03-03 11:15:09,"61530600","29","0","0","0","521","1249","25","0","87","5","4","0","0","0","6606616","524104","496100","28004","0","0","96","89","6","22","125","0","64","262144","112829","14272","13774","2048","1866","23808","9856","149985","38","26","0","64664","57","52","2893","0","0",
2022-03-03 11:15:10,"61694804","29","0","0","0","521","1248","24","0","64","5","29","0","0","0","6606616","361052","333048","28004","0","0","96","64","5","22","128","0","63","262144","156857","14272","13775","2048","1866","23808","9856","93613","37","26","26","63636","57","52","2893","0","0",
2022-03-03 11:15:11,"61620620","29","0","0","0","521","1248","24","0","85","6","6","0","0","0","6606616","431012","403008","28004","0","0","96","87","6","22","125","0","63","262144","136493","14272","13775","2048","1866","23808","9856","96414","37","26","0","63636","57","52","2893","0","0",
2022-03-03 11:15:12,"61581740","29","0","0","0","521","1248","25","0","85","6","5","0","0","0","6606616","471316","443312","28004","0","0","96","88","6","22","125","0","63","262144","93868","14272","13775","2048","1866","23808","9856","117422","37","26","0","63636","57","52","2893","0","0",
2022-03-03 11:15:13,"61578464","29","0","0","0","521","1248","24","0","90","5","4","0","0","0","6606616","476332","448328","28004","0","0","96","90","5","22","125","0","63","262144","109636","14272","13775","2048","1866","23808","9856","196856","37","26","0","63636","57","52","2893","0","0",
2022-03-03 11:15:14,"61567888","29","0","0","0","521","1230","6","0","68","5","26","0","0","0","6606616","486240","458236","28004","0","0","96","68","5","22","125","0","45","262144","101291","14272","13775","2048","1866","23808","9856","147807","19","8","0","45132","57","52","2893","0","0",
2022-03-03 11:15:15,"61560076","29","0","0","0","521","1248","21","0","73","6","18","0","0","0","6606616","494160","466156","28004","0","0","96","76","6","22","127","0","63","262144","21472","14272","13776","2048","1866","23808","9856","126187","37","26","26","63636","57","52","2893","0","0",
2022-03-03 11:15:16,"61558816","29","0","0","0","521","1248","23","0","87","5","4","0","0","0","6606616","495472","467468","28004","0","0","96","89","6","22","125","0","63","262144","54642","14272","13776","2048","1866","23808","9856","103842","37","26","0","63636","57","52","2893","0","0",
2022-03-03 11:15:17,"61556040","29","0","0","0","521","1248","25","0","84","5","6","0","0","0","6606616","498096","470092","28004","0","0","96","87","6","22","125","0","63","262144","161815","14272","13776","2048","1866","23808","9856","90070","37","26","0","63636","57","52","2893","0","0",
2022-03-03 11:15:18,"61553268","29","0","0","0","521","1243","16","0","82","5","10","0","0","0","6606616","501116","473112","28004","0","0","96","84","5","22","125","0","58","262144","55410","14272","13776","2048","1866","23808","9856","187157","32","21","0","58496","57","52","2893","0","0",
2022-03-03 11:15:20,"61545456","29","0","0","0","521","1247","25","0","28","2","20","0","0","0","6606616","509652","481648","28004","0","0","96","28","2","22","127","0","62","262144","23402","14272","13785","2048","1866","23808","9856","130226","36","26","26","62608","57","52","2893","0","0",
