
time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-06 16:37:16,"60635628","33","0","","","514","1211","3","0","","","","","","","4009968","171096","147528","23568","0","0","96","","","2","","","35","131072","1918","128","49","64","2","21504","7488","42037","9","1","","33828","3","0","444","","",
2022-03-06 16:37:17,"60486320","34","0","0","0","514","1245","25","0","47","2","49","0","0","0","6472060","318996","290532","28464","0","0","96","49","2","22","28785","25261","72","131072","39194","14144","13820","2048","1891","21504","9600","127315","46","26","38","72888","138","133","2953","2509","0",
2022-03-06 16:37:18,"60391620","34","0","0","0","514","1239","25","0","84","5","8","0","0","0","6472060","418128","389480","28648","0","0","96","85","5","22","146","0","66","131072","11357","14144","13820","2048","1891","21504","9728","220501","40","26","0","66720","138","133","2953","0","0",
2022-03-06 16:37:19,"60380028","34","0","0","0","514","1237","22","0","84","5","7","0","0","0","6472060","427392","398744","28648","0","0","96","86","5","22","138","0","64","131072","72004","14144","13820","2048","1891","21504","9728","225503","38","26","0","64664","138","133","2953","0","0",
2022-03-06 16:37:20,"60354576","34","0","0","0","514","1236","25","0","86","5","7","0","0","0","6472060","451492","422844","28648","0","0","96","87","5","22","128","0","62","131072","8229","14144","13820","2048","1891","21504","9728","204151","36","26","0","62608","138","133","2953","0","0",
2022-03-06 16:37:21,"60348276","34","0","0","0","514","1235","21","0","86","5","7","0","0","0","6472060","456944","428296","28648","0","0","96","86","4","22","129","0","61","131072","77774","14144","13822","2048","1891","21504","9792","115787","35","25","0","61580","138","133","2953","0","0",
2022-03-06 16:37:22,"60337956","34","0","0","0","514","1215","5","0","49","3","46","0","0","0","6472060","470580","441932","28648","0","0","96","50","3","22","129","0","41","131072","20923","14144","13822","2048","1891","21504","9792","63298","15","5","0","41020","138","133","2953","0","0",
2022-03-06 16:37:23,"60329396","34","0","0","0","514","1237","22","0","65","10","20","0","0","0","6472060","477656","449008","28648","0","0","96","67","10","22","183","0","64","131072","69404","14272","13793","2048","1862","23808","9856","111779","38","26","30","64664","57","52","2888","17","82",
2022-03-06 16:37:24,"60236156","34","0","0","0","514","1236","25","0","75","11","8","0","0","0","6472060","573512","544864","28648","0","0","96","77","11","22","126","0","62","131072","8029","14272","13793","2048","1862","23808","9856","301824","36","26","0","62608","57","52","2888","0","0",
2022-03-06 16:37:25,"60218176","34","0","0","0","514","1236","22","0","72","10","11","0","0","0","6472060","587500","558852","28648","0","0","96","75","11","22","124","0","62","131072","59308","14272","13793","2048","1862","23808","9856","255861","36","26","0","62608","57","52","2888","0","0",
