time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 16:34:38,"59941288","35","0","","","524","1331","2","0","","","","","","","3942172","176104","150336","25768","0","0","96","","","2","","","34","131072","2000","448","325","64","2","21504","7488","43709","9","1","","33828","3","0","445","","",
2022-03-07 16:34:39,"59932744","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142060","185432","157572","27860","0","0","96","4","0","3","249","0","37","131072","2002","1088","970","64","10","21504","7872","49208","11","1","2","36908","3","0","628","183","0",
2022-03-07 16:34:40,"59927956","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142060","190684","162800","27884","0","0","96","4","0","3","170","0","37","131072","2002","1856","1671","128","18","21504","8192","49686","11","1","0","36908","4","1","727","99","0",
2022-03-07 16:34:41,"59911680","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142060","207564","179720","27844","0","0","96","4","0","3","177","0","37","131072","2960","2176","2040","128","27","21504","8512","59597","11","1","0","36908","6","3","778","51","0",
2022-03-07 16:34:42,"59910420","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142060","209476","181372","28104","0","0","96","4","0","4","345","0","37","131072","3024","2816","2674","128","71","21504","9280","60192","11","1","0","36908","7","4","889","111","0",
2022-03-07 16:34:43,"59907788","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142060","211936","183588","28348","0","0","96","4","0","4","564","0","37","131072","3968","3648","3532","192","116","21504","10048","43306","11","1","0","36908","14","11","1083","194","0",
2022-03-07 16:34:44,"59904772","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142124","215400","186984","28416","0","0","96","4","0","6","4234","0","37","131072","19882","5056","4920","320","214","21504","10816","49681","11","1","0","36908","20","16","1271","188","0",
2022-03-07 16:34:45,"59902768","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142124","218436","189660","28776","0","0","96","4","0","5","356","0","37","131072","21929","5888","5774","320","264","21504","11840","48278","11","1","0","36908","21","17","1439","168","0",
2022-03-07 16:34:46,"59900248","35","0","0","0","524","1333","2","1","4","0","96","0","0","0","4142124","221408","192844","28564","0","0","96","4","0","5","339","0","37","131072","7564","6912","6756","384","325","21504","12544","49120","11","1","0","36908","22","18","1656","217","0",
2022-03-07 16:34:47,"59897476","35","0","0","0","524","1333","2","0","4","0","96","0","0","0","4142124","224340","195772","28568","0","0","96","4","0","5","486","0","37","131072","30078","8320","8104","576","460","21504","13184","49002","11","1","0","36908","33","29","1910","254","0",
2022-03-07 16:34:48,"59916192","34","0","0","0","523","1310","2","0","4","0","96","0","0","0","4142124","222776","194216","28560","0","0","96","4","0","5","616","0","37","131072","45035","9600","9468","640","591","21504","13824","45640","11","1","0","36908","35","31","2226","316","0",
2022-03-07 16:34:49,"59912924","34","0","0","0","523","1310","2","0","4","0","96","0","0","0","4142124","226200","197684","28516","0","0","96","4","0","5","574","0","37","131072","19794","11200","10960","896","755","21504","14784","49468","11","1","0","36908","51","47","2539","313","0",
2022-03-07 16:34:50,"59912168","34","0","0","0","523","1298","2","0","4","0","96","0","0","0","4142124","228216","199652","28564","0","0","96","4","0","5","285","0","37","131072","31572","12032","11793","960","832","21504","15808","50563","11","1","0","36908","64","60","2691","152","0",
2022-03-07 16:34:51,"59910152","34","0","0","0","523","1298","3","0","4","0","96","0","0","0","4142184","230392","201884","28508","0","0","96","4","0","5","551","0","37","131072","38740","13376","13105","1152","985","21504","16512","50947","11","1","0","36908","76","72","2969","278","0",
2022-03-07 16:34:52,"59902616","34","0","0","0","523","1299","3","0","5","0","95","0","0","0","4208748","238176","209612","28564","0","0","96","5","0","5","855","1","38","131072","74027","16192","16007","1408","1292","21504","17600","53021","12","2","1","37936","77","73","3382","413","0",
2022-03-07 16:34:53,"59888756","34","0","0","0","523","1299","2","0","6","0","94","0","0","0","4208748","252148","223592","28556","0","0","96","6","0","5","897","1","38","131072","65380","18624","18483","1728","1654","21504","18816","60780","12","2","0","37936","80","76","4026","644","0",
2022-03-07 16:34:54,"59885984","34","0","0","0","523","1299","2","0","5","0","95","0","0","0","4208748","256208","227588","28620","0","0","96","5","0","5","606","0","38","131072","11103","20352","20116","1920","1785","21504","19648","54817","12","2","0","37936","80","76","4259","233","0",
2022-03-07 16:34:55,"59880440","34","0","0","0","523","1303","2","0","6","0","95","0","0","0","4475020","260592","231980","28612","0","0","96","6","0","5","1282","0","42","131072","25683","23744","23543","2176","2092","36160","20352","58414","12","2","0","42032","95","91","4686","427","0",
2022-03-07 16:34:56,"59877416","34","0","0","0","523","1303","2","0","5","0","96","0","0","0","4475020","263924","235312","28612","0","0","96","5","0","5","552","0","42","131072","40533","25216","24999","2368","2274","36160","21312","65233","12","2","0","42032","100","96","4953","267","0",
2022-03-07 16:34:57,"59874896","34","0","0","0","523","1302","2","0","5","0","96","0","0","0","4475020","266740","238004","28736","0","0","96","5","0","5","731","0","41","131072","50763","26944","26705","2560","2449","36160","21888","64128","11","1","1","41004","112","108","5271","318","0",
2022-03-07 16:34:58,"59877416","34","0","0","0","523","1302","2","0","4","0","96","0","0","0","4475020","263560","234772","28788","0","0","96","4","0","5","780","0","41","131072","48235","28288","28035","2752","2616","36160","22464","56259","11","1","0","41004","116","112","5557","286","0",
