time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 16:30:25,"59963596","34","0","","","523","1298","2","0","","","","","","","3942172","176004","150332","25672","0","0","92","","","2","","","34","131072","2000","448","325","64","2","21504","7488","43709","9","1","","33828","3","0","445","","",
2022-03-07 16:30:26,"59955796","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142060","185312","157484","27828","0","0","92","4","0","3","246","0","37","131072","2002","1088","961","64","10","21504","7808","47758","11","1","2","36908","3","0","628","183","0",
2022-03-07 16:30:27,"59950652","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142060","190572","162720","27852","0","0","92","4","0","3","172","0","37","131072","2002","1792","1635","128","17","21504","8192","49730","11","1","0","36908","4","1","725","97","0",
2022-03-07 16:30:28,"59934744","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142060","207256","179440","27816","0","0","92","4","0","3","160","0","37","131072","2473","2176","1988","128","22","21504","8512","60293","11","1","0","36908","6","3","769","44","0",
2022-03-07 16:30:29,"59932444","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142060","209312","181240","28072","0","0","92","4","0","4","358","0","37","131072","3024","2752","2668","128","71","21504","9216","60481","11","1","0","36908","7","4","888","119","0",
2022-03-07 16:30:30,"59930228","34","0","0","0","523","1300","2","0","4","0","96","0","0","0","4142060","211712","183384","28328","0","0","92","4","0","4","565","0","37","131072","3968","3584","3471","192","114","21504","9920","60294","11","1","0","36908","13","10","1075","187","0",
2022-03-07 16:30:31,"59930252","34","0","0","0","523","1300","2","0","4","0","96","0","0","0","4142124","211108","182716","28392","0","0","92","4","0","6","4233","0","37","131072","19882","5056","4877","320","214","21504","10816","47330","11","1","0","36908","20","16","1267","192","0",
2022-03-07 16:30:32,"59927432","34","0","0","0","523","1300","2","0","4","0","96","0","0","0","4142124","214088","185396","28692","0","0","92","4","0","5","355","0","37","131072","20909","5888","5768","320","264","21504","11840","48159","11","1","0","36908","21","17","1439","172","0",
2022-03-07 16:30:33,"59924660","34","0","0","0","523","1300","2","0","4","0","96","0","0","0","4142124","217492","189016","28476","0","0","92","4","0","5","341","0","37","131072","7756","6912","6757","384","325","21504","12608","48895","11","1","0","36908","22","18","1656","217","0",
2022-03-07 16:30:34,"59921172","34","0","0","0","523","1300","2","0","4","0","96","0","0","0","4142124","220584","192052","28532","0","0","92","4","0","5","506","0","37","131072","31507","8384","8200","576","470","21504","13184","54266","11","1","0","36908","33","29","1941","285","0",
2022-03-07 16:30:35,"59920928","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142124","219848","191384","28464","0","0","92","4","0","5","716","0","37","131072","49736","9984","9790","704","624","21504","13952","46888","11","1","0","36908","38","34","2293","352","0",
2022-03-07 16:30:36,"59918656","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142124","222804","194376","28428","0","0","92","4","0","5","475","0","37","131072","22444","11392","11173","896","776","21504","15104","49028","11","1","0","36908","52","48","2577","284","0",
2022-03-07 16:30:37,"59917144","34","0","0","0","523","1301","2","0","4","0","96","0","0","0","4142184","225032","196576","28456","0","0","92","4","0","5","477","0","37","131072","32170","12544","12324","1024","882","21504","16000","50863","11","1","0","36908","71","67","2810","233","0",
2022-03-07 16:30:38,"59914380","34","0","0","0","523","1302","3","0","4","0","96","0","0","0","4208748","227308","198888","28420","0","0","92","4","0","5","404","0","38","131072","44458","13568","13348","1152","1013","21504","16768","51988","12","2","1","37936","76","72","3020","210","0",
