time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-07 16:28:23,"59951484","34","0","","","523","1305","2","0","","","","","","","3942172","175552","150084","25468","0","0","92","","","2","","","34","131072","2000","448","325","64","2","21504","7488","43709","9","1","","33828","3","0","445","","",
2022-03-07 16:28:24,"59944800","34","0","0","0","523","1308","2","0","4","0","96","0","0","0","4142060","184868","157300","27568","0","0","92","4","0","3","246","0","37","131072","2002","1088","970","64","10","21504","7872","49931","11","1","2","36908","3","0","628","183","0",
2022-03-07 16:28:25,"59939608","34","0","0","0","523","1308","3","0","4","0","96","0","0","0","4142060","190104","162512","27592","0","0","92","4","0","3","171","0","37","131072","2002","1856","1665","128","18","21504","8192","49749","11","1","0","36908","4","1","727","99","0",
2022-03-07 16:28:26,"59922764","34","0","0","0","523","1308","2","0","4","0","96","0","0","0","4142060","207000","179444","27556","0","0","92","4","0","3","164","0","37","131072","2473","2176","1988","128","22","21504","8512","60487","11","1","0","36908","6","3","769","42","0",
2022-03-07 16:28:27,"59921756","34","0","0","0","523","1308","2","0","4","0","96","0","0","0","4142060","208924","181112","27812","0","0","92","4","0","4","349","0","37","131072","3024","2816","2674","128","71","21504","9280","62503","11","1","0","36908","7","4","889","120","0",
2022-03-07 16:28:28,"59919536","34","0","0","0","523","1308","2","0","4","0","96","0","0","0","4142060","211392","183328","28064","0","0","92","4","0","4","561","0","37","131072","3968","3648","3535","192","116","21504","10048","60243","11","1","0","36908","14","11","1083","194","0",
2022-03-07 16:28:29,"59915196","34","0","0","0","523","1308","2","0","4","0","96","0","0","0","4142124","215172","186860","28312","0","0","92","4","0","6","4251","0","37","131072","19881","5120","4975","320","217","21504","10880","47881","11","1","0","36908","20","16","1277","194","0",
2022-03-07 16:28:30,"59912172","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142124","218136","189576","28560","0","0","92","4","0","5","332","0","37","131072","21929","5952","5819","320","264","21504","11904","48467","11","1","0","36908","21","17","1442","165","0",
2022-03-07 16:28:31,"59909196","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142124","221248","192888","28360","0","0","92","4","0","5","372","0","37","131072","8700","6976","6857","384","335","21504","12672","48322","11","1","0","36908","26","22","1681","239","0",
2022-03-07 16:28:32,"59906652","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142124","224264","195864","28400","0","0","92","4","0","5","471","0","37","131072","31440","8384","8199","576","470","21504","13248","54476","11","1","0","36908","33","29","1941","260","0",
2022-03-07 16:28:33,"59906400","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142124","222772","194440","28332","0","0","92","4","0","5","669","0","37","131072","45564","9728","9554","704","598","21504","13888","45793","11","1","0","36908","35","31","2244","303","0",
2022-03-07 16:28:34,"59902384","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142124","226532","198236","28296","0","0","92","4","0","5","513","0","37","131072","21938","11328","11088","896","767","21504","15104","49404","11","1","0","36908","52","48","2562","318","0",
2022-03-07 16:28:35,"59900604","34","0","0","0","523","1306","2","0","4","0","96","0","0","0","4142184","228112","199756","28356","0","0","92","4","0","5","359","0","37","131072","32178","12096","11907","960","844","21504","15744","50979","11","1","0","36908","64","60","2717","155","0",
2022-03-07 16:28:36,"59898092","34","0","0","0","523","1307","2","0","4","0","96","0","0","0","4208748","230444","202096","28348","0","0","92","4","0","5","460","0","38","131072","39840","13440","13171","1152","990","21504","16640","51285","12","2","1","37936","76","72","2979","262","0",
2022-03-07 16:28:37,"59891028","34","0","0","0","523","1307","2","0","6","0","95","0","0","0","4208748","238360","209956","28404","0","0","92","6","0","5","882","1","38","131072","77196","16320","16106","1408","1300","21504","17600","53501","12","2","0","37936","77","73","3398","419","0",
2022-03-07 16:28:38,"59876568","34","0","0","0","523","1306","2","0","6","0","95","0","0","0","4208748","252408","224012","28396","0","0","92","6","0","5","882","0","38","131072","67303","18752","18619","1728","1659","21504","18816","54915","12","2","0","37936","80","76","4038","640","0",
2022-03-07 16:28:39,"59874396","34","0","0","0","523","1306","2","0","6","0","95","0","0","0","4208748","255712","227316","28396","0","0","92","5","0","5","632","0","38","131072","12754","20416","20218","1920","1795","21504","19648","57921","12","2","0","37936","82","78","4279","241","0",
2022-03-07 16:28:40,"59870112","34","0","0","0","523","1310","2","0","5","0","95","0","0","0","4475020","260516","232128","28388","0","0","92","5","0","5","1362","0","42","131072","28805","24128","23924","2240","2135","36096","20288","57864","12","2","0","42032","95","91","4747","468","0",
2022-03-07 16:28:41,"59866600","34","0","0","0","523","1309","2","0","5","0","96","0","0","0","4475020","263428","235040","28388","0","0","92","5","0","5","418","0","41","131072","41093","25216","25008","2368","2272","36096","21312","64699","11","1","0","41004","100","96","4955","208","0",
2022-03-07 16:28:42,"59864332","34","0","0","0","523","1309","2","0","5","0","96","0","0","0","4475020","266276","237764","28512","0","0","92","4","0","5","727","0","41","131072","50767","26944","26716","2560","2447","36096","21824","64130","11","1","1","41004","112","108","5275","320","0",
2022-03-07 16:28:43,"59858512","34","0","0","0","523","1312","2","0","4","0","96","0","0","0","4475020","268272","239708","28564","0","0","92","4","0","5","778","0","41","131072","48744","28224","28033","2688","2611","36096","22464","56166","11","1","0","41004","113","109","5556","281","0",
2022-03-07 16:28:44,"59854480","34","0","0","0","523","1312","2","0","4","0","96","0","0","0","4475020","273052","244488","28564","0","0","92","4","0","5","907","0","41","131072","40856","30528","30213","3072","2913","36096","23104","61330","11","1","0","41004","123","119","6088","532","0",
2022-03-07 16:28:45,"59867112","34","0","0","0","522","1309","2","0","4","0","96","0","0","0","4475020","276732","248168","28564","0","0","92","4","0","5","496","0","41","131072","79768","31744","31482","3264","3090","36096","23552","72033","11","1","0","41004","124","120","6394","306","0",
2022-03-07 16:28:46,"59849976","34","0","0","0","522","1309","2","0","4","0","96","0","0","0","4475020","294104","265540","28564","0","0","92","4","0","5","154","0","41","131072","81816","31872","31610","3264","3098","36096","24384","78529","11","1","0","41004","125","121","6409","15","0",
2022-03-07 16:28:48,"59850740","34","0","0","0","522","1309","2","0","2","0","48","0","0","0","4475020","295652","267088","28564","0","0","92","2","0","5","303","0","41","131072","24273","32768","32476","3392","3196","36096","24960","78862","11","1","0","41004","141","137","6583","174","0",
2022-03-07 16:28:49,"59858420","34","0","0","0","522","1309","4","0","4","0","96","0","0","0","4475020","287128","258564","28564","0","0","92","4","0","5","645","0","41","131072","56017","34752","34458","3584","3444","36096","25664","56886","11","1","0","41004","165","161","7009","426","0",
2022-03-07 16:28:50,"59846744","34","0","0","0","522","1309","2","0","4","0","96","0","0","0","4475020","297248","268692","28556","0","0","92","4","0","7","529","0","41","131072","66841","35968","35614","3776","3576","36096","26688","82899","11","1","0","41004","171","167","7231","222","0",
2022-03-07 16:28:51,"59843476","34","0","0","0","522","1309","2","0","4","0","96","0","0","0","4475020","301740","273188","28552","0","0","92","4","0","7","538","0","41","131072","24900","37120","36784","3840","3664","60288","28032","82866","11","1","0","41004","179","175","7372","141","0",
2022-03-07 16:28:52,"59840460","34","0","0","0","522","1309","2","0","4","0","96","0","0","0","4475020","304264","275588","28676","0","0","92","4","0","7","713","1","41","131072","38722","38784","38444","3968","3776","60288","28800","84658","11","1","0","41004","179","175","7551","179","0",
