time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
2022-03-02 19:44:43,"57632800","45","0","","","543","1606","2","0","","","","","","","3940852","175744","150076","25668","0","0","92","","","2","","","34","131072","2000","448","327","64","2","21504","7488","42494","9","1","","33828","3","0","445","","",
2022-03-02 19:44:44,"57626248","45","0","0","0","543","1609","2","0","4","0","96","0","0","0","4140740","185188","157312","27876","0","0","92","4","0","3","252","0","37","131072","2002","1088","970","64","10","21504","7872","48222","11","1","2","36908","3","0","628","183","0",
2022-03-02 19:44:45,"57621360","45","0","0","0","543","1609","2","0","4","0","96","0","0","0","4140740","190364","162464","27900","0","0","92","4","0","3","178","0","37","131072","2002","1792","1641","128","18","21504","8192","48619","11","1","0","36908","4","1","726","98","0",
2022-03-02 19:44:46,"57605080","45","0","0","0","543","1609","2","0","4","0","96","0","0","0","4140740","207036","179176","27860","0","0","92","4","0","3","166","0","37","131072","2473","2176","1969","128","22","21504","8512","59032","11","1","0","36908","6","3","769","43","0",
2022-03-02 19:44:47,"57604324","45","0","0","0","543","1609","2","0","4","0","96","0","0","0","4140740","209016","180896","28120","0","0","92","4","0","4","361","0","37","131072","2960","2752","2633","128","70","21504","9152","61765","11","1","0","36908","7","4","886","117","0",
2022-03-02 19:44:48,"57620580","44","0","0","0","542","1586","2","0","4","0","96","0","0","0","4140740","211260","182640","28620","0","0","92","4","0","4","500","0","37","131072","3968","3456","3295","192","103","21504","9792","58930","11","1","0","36908","13","10","1041","155","0",
2022-03-02 19:44:49,"57627292","44","0","0","0","542","1586","2","0","4","0","96","0","0","0","4140804","205464","177028","28436","0","0","92","4","0","4","4017","0","37","131072","18857","4416","4274","256","166","21504","10752","46150","11","1","0","36908","20","16","1182","141","0",
2022-03-02 19:44:50,"57623776","44","0","0","0","542","1586","2","0","4","0","96","0","0","0","4140804","209420","180684","28736","0","0","92","4","0","5","644","0","37","131072","20907","5760","5640","320","262","21504","11648","48558","11","1","0","36908","21","17","1397","215","0",
2022-03-02 19:44:51,"57621456","44","0","0","0","542","1585","2","0","4","0","96","0","0","0","4140804","211808","183216","28592","0","0","92","4","0","5","290","0","37","131072","4199","6656","6481","384","302","21504","12352","46937","11","1","0","36908","21","17","1593","196","0",
2022-03-02 19:44:52,"57619288","44","0","0","0","542","1585","2","0","4","0","96","0","0","0","4140804","214324","185728","28596","0","0","92","4","0","5","475","0","37","131072","24272","8000","7773","576","427","21504","12992","47671","11","1","0","36908","29","25","1850","257","0",
